,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,Poste actuel
224,"['Mission 1: Text generator', '的 Collection of data from various sources using Web Crawling.', '的 Preparation, transformation, modelling and evaluation of the model which allows to generate articles', 'taking as input subjects of variing themes.', '的 Deployment of APIs allowing Fine-tuning and consumption of the model on Google cloud', 'platform (GCP).', '的 Handling of Cloud Scheduler for planning the deployed models.', 'Customer support to adapt more to their needs.', '', 'Mission 2: Plagiarism detector', '的 Analysis of customer needs and feasibility study.', '的 Design and development of algorithms that allows text search while integrating', 'a textual analysis with Natural Language Toolkit (nltk).', '的 Deployment of the backend with Docker on Google cloud platform (GCP).', '', 'Keywords:', 'Deep learning Transfer learning Natural language processing (NLP) Python Flask torch GCP Socket Pandas Numpy Mongodb GPT2 T5 BeautifulSoup selenium nltk Residential Proxies nginx supervisorctl', 'Compute engine Text mining Docker SERP']",Mission 1: Text generator,的 Collection of data from various sources using Web Crawling.,"的 Preparation, transformation, modelling and evaluation of the model which allows to generate articles",taking as input subjects of variing themes.,的 Deployment of APIs allowing Fine-tuning and consumption of the model on Google cloud,platform (GCP).,的 Handling of Cloud Scheduler for planning the deployed models.,Customer support to adapt more to their needs.,,Mission 2: Plagiarism detector,Data engine
225,['Worked on Predictive analysis of technical support Tickets.'],Worked on Predictive analysis of technical support Tickets.,,,,,,,,,,Internal at Advancia IT System working on Predictive analysis of technical support activity
226,['Working on cyber security and AI related subjects'],Working on cyber security and AI related subjects,,,,,,,,,,Cyber Security Consultant
227,['unckown'],unckown,,,,,,,,,,Lead Data Scientist - Analytics
228,['unckown'],unckown,,,,,,,,,,Client Engineering Data Scientist
229,"[""Analysis and modelling of a time series data set of household electricity consumption using ARIMA, LSTM, and Facebook Prophet models. The main objective is to drill the next year's consumption to minimize the cost of the bill."", 'Make it possible to extract table layout and content from PDF files and images in an Excel sheet using the Azure Form Recognizer API and the openpyxl library.']","Analysis and modelling of a time series data set of household electricity consumption using ARIMA, LSTM, and Facebook Prophet models. The main objective is to drill the next year's consumption to minimize the cost of the bill.",Make it possible to extract table layout and content from PDF files and images in an Excel sheet using the Azure Form Recognizer API and the openpyxl library.,,,,,,,,,Data Scientist internally
230,['Skills: Domain-Driven Design (DDD) · CI/CD · Event Sourcing ·.NET 6 · C# · Amazon Web Services (AWS) · Microservices · Kubernetes'],Skills: Domain-Driven Design (DDD) · CI/CD · Event Sourcing ·.NET 6 · C# · Amazon Web Services (AWS) · Microservices · Kubernetes,,,,,,,,,,Software Engineer
231,['unckown'],unckown,,,,,,,,,,Current Data Scientist
232,"['Client 1', 'Nike European Headquarters (EMEA Enterprise and Data Analytics team). ', '', 'Client 2 ', 'ABN AMRO Dutch Bank (Partnership with Capgemini Innovation Team).']",Client 1,Nike European Headquarters (EMEA Enterprise and Data Analytics team). ,,Client 2 ,ABN AMRO Dutch Bank (Partnership with Capgemini Innovation Team).,,,,,,AI & Data Engineer Consultant
233,"['- Programming and modeling skills Mathematics', '- Mastery of massively parallel data processing technologies ', '- Design of prediction models (Machine Learning) ', '- Decision support ']",- Programming and modeling skills Mathematics,- Mastery of massively parallel data processing technologies ,- Design of prediction models (Machine Learning) ,- Decision support ,,,,,,,Data Scientist
234,"['Use of object detection models for extracting areas of interest in documents.', '- Annotation of the data.', '- Increased data with GANs.', '- Making an object detection model.', '- Use of OCR for text extraction.', '- Deployment of models in the form of a Backend API.']",Use of object detection models for extracting areas of interest in documents.,- Annotation of the data.,- Increased data with GANs.,- Making an object detection model.,- Use of OCR for text extraction.,- Deployment of models in the form of a Backend API.,,,,,Data Scientist - Data Engineer
235,['unckown'],unckown,,,,,,,,,,Data Engineer
236,['unckown'],unckown,,,,,,,,,,Software Engineer
237,['unckown'],unckown,,,,,,,,,,Data Engineer
238,['unckown'],unckown,,,,,,,,,,External Big Data Developer
239,['unckown'],unckown,,,,,,,,,,Data Engineer
240,['unckown'],unckown,,,,,,,,,,Data Analytics
241,"['Developed web applications, machine learning models and analytical dashboards.']","Developed web applications, machine learning models and analytical dashboards.",,,,,,,,,,Computer Science Freelancer
242,['unckown'],unckown,,,,,,,,,,Software Programr
243,"['• Analysis of customer needs manually Airbus and ATR', '• Involved in daily SCRUM meetings to keep track of the projects status', '• Processing and analysis of data in different formats with Machine learning algorithms and Python  ', '• Creation of dashboards with PowerBI.']",• Analysis of customer needs manually Airbus and ATR,• Involved in daily SCRUM meetings to keep track of the projects status,• Processing and analysis of data in different formats with Machine learning algorithms and Python  ,• Creation of dashboards with PowerBI.,,,,,,,Junior data engineer
244,"[""Thesis's Title: Development of a Machine Learning Model to detect anomalies "", 'in a radio network.', 'Technology Used: R, Python, and Power BI.']",Thesis's Title: Development of a Machine Learning Model to detect anomalies ,in a radio network.,"Technology Used: R, Python, and Power BI.",,,,,,,,Junior Data Analyst
245,"['The project details designing and developing an automated solution for finding the best candidates for a specific job position.', 'Tasks:', '— Research for different job recommendation systems and job profile matching approaches', '— Use and implementation of enterprise architectures in modern', 'Web applications, such as the 4-tier application (data layer:', 'SQLite, data access layer: SQLAlchemy, service layer: Flask, presentation layer:', 'Angular & PowerBi)', '— Implementation of a LinkedIn profile scraping service', '— Implementation of an algorithm for matching and filtering of job profiles', '— Design and documentation of API interfaces', '—- Frontend implementation with modern web frameworks (Angular)', '— Integration of PowerBi to visualize statistical data', '— Report preparation, data collection and analysis of the job recommendation systems used']",The project details designing and developing an automated solution for finding the best candidates for a specific job position.,Tasks:,— Research for different job recommendation systems and job profile matching approaches,— Use and implementation of enterprise architectures in modern,"Web applications, such as the 4-tier application (data layer:","SQLite, data access layer: SQLAlchemy, service layer: Flask, presentation layer:",Angular & PowerBi),— Implementation of a LinkedIn profile scraping service,— Implementation of an algorithm for matching and filtering of job profiles,— Design and documentation of API interfaces,Research and Development International
246,"['The main objective of my end-of-studies internship was to develop an intelligent solution to evaluate the conformity of sub-contractors.', '', '- First, we worked on extracing specific key information from each document using a variety of deep learning algorithms.', '- Second, we sorted to automate the classification process of each document.']",The main objective of my end-of-studies internship was to develop an intelligent solution to evaluate the conformity of sub-contractors.,,"- First, we worked on extracing specific key information from each document using a variety of deep learning algorithms.","- Second, we sorted to automate the classification process of each document.",,,,,,, Data scientist internal - Reserach project
247,"['I worked with the Quality & Test team of the French company HEXAGONE SAS, to ensure the global', 'quality of the manufactured product (CAM), to test the manufacturing processes, to develop quality', 'tests and to define the criteria to which a test result must answer in collaboration with the developers', 'and the project managers']","I worked with the Quality & Test team of the French company HEXAGONE SAS, to ensure the global","quality of the manufactured product (CAM), to test the manufacturing processes, to develop quality",tests and to define the criteria to which a test result must answer in collaboration with the developers,and the project managers,,,,,,,Engineer QA
248,['unckown'],unckown,,,,,,,,,,Junior data scientist
249,['unckown'],unckown,,,,,,,,,,Python Engineer
250,['Build an application to readily extract information from balance sheets using optical character recognition (OCR) leading to lowering agents的 work time by ~10 minutes per sheet.'],Build an application to readily extract information from balance sheets using optical character recognition (OCR) leading to lowering agents的 work time by ~10 minutes per sheet.,,,,,,,,,,Data Scientist
251,"['• Creating a real time insights visualization dashboards for a pharmaceutic company to monitor the critical parameters of her machines, general intelligent, anomaly scores and alarms to anticipate problems and reduce human supervision.', '• Deploying the solution in different Azure VMs using Ansible.']","• Creating a real time insights visualization dashboards for a pharmaceutic company to monitor the critical parameters of her machines, general intelligent, anomaly scores and alarms to anticipate problems and reduce human supervision.",• Deploying the solution in different Azure VMs using Ansible.,,,,,,,,,Data Engineer Trainee
252,['Skills: Problem Solving · Communication · Analytic Skills'],Skills: Problem Solving · Communication · Analytic Skills,,,,,,,,,,Senior Consultant
253,['Skills: MLOps · Amazon Web Services (AWS) · Python (Programming Language) · Machine Learning'],Skills: MLOps · Amazon Web Services (AWS) · Python (Programming Language) · Machine Learning,,,,,,,,,,Machine Learning Operations intern 
254,['unckown'],unckown,,,,,,,,,,PhD student
255,['unckown'],unckown,,,,,,,,,,Lead Data Scientist
256,['unckown'],unckown,,,,,,,,,,Full stack data engineer
257,['Skills: Python · Machine Learning · Amazon Web Services (AWS) · Natural Language Processing (NLP) · Apache Spark'],Skills: Python · Machine Learning · Amazon Web Services (AWS) · Natural Language Processing (NLP) · Apache Spark,,,,,,,,,,Data Scientist
258,"['- Exploring methods to handle imbalanced data', '- Tuning hyperparameters of XGBoost Classify using hyperopt', '- Exploring Imputation techniques ', '- Refactoring code: using Pydantic library instead of dataclass... ', '- Creating workflow using docker and apache-airflow']",- Exploring methods to handle imbalanced data,- Tuning hyperparameters of XGBoost Classify using hyperopt,- Exploring Imputation techniques ,- Refactoring code: using Pydantic library instead of dataclass... ,- Creating workflow using docker and apache-airflow,,,,,,Data Scientist
259,['unckown'],unckown,,,,,,,,,,Software Developer
260,['unckown'],unckown,,,,,,,,,,Retail Consultant/ Data Engineer
261,['unckown'],unckown,,,,,,,,,,Developer/Developer of operating solutions/ Data Scientist
262,['unckown'],unckown,,,,,,,,,,Consultant MS Dynamics NAV/BC
263,['unckown'],unckown,,,,,,,,,,Data Analyst
264,['unckown'],unckown,,,,,,,,,,Data consultant
265,['unckown'],unckown,,,,,,,,,,Data Scientist
266,['unckown'],unckown,,,,,,,,,,Machine Learning Engineer
267,"['A blog about AI, Machine Learning, and practical topics.', 'https://jouini-ghada1.medium.com/']","A blog about AI, Machine Learning, and practical topics.",https://jouini-ghada1.medium.com/,,,,,,,,,Blogger
268,['Skills: SAP BI'],Skills: SAP BI,,,,,,,,,,SAP BI Support Engineer
269,['unckown'],unckown,,,,,,,,,,SAP Retail functional consultant 
270,"['Develop a unique benchmarking solution that helps customers find the best compromise between technology and cost priorities, supporting projects through the product life cycle, from concept development to optimization serial costs.']","Develop a unique benchmarking solution that helps customers find the best compromise between technology and cost priorities, supporting projects through the product life cycle, from concept development to optimization serial costs.",,,,,,,,,,Cost Engineer and Consulting
271,['Data Engineer part of the food catalog team'],Data Engineer part of the food catalog team,,,,,,,,,,Data Engineer
272,"['•Directly engage with customers to design and implement solutions including designing architectures and implementing solutions ', '•Design solution and technical design documentation ', '•Provides feedback to the Product management team', '•Help customers migrate and/or build workloads towards production in the Ezmeral container Platform', '•Install & configure Ezmeral Container platform ', '•Install & configure Ezmeral Data fabric ', '•Estimate load and build customer needs ', '•Organize Calls, meetings and workshops ', '•Guide customers - technical architecture and investments', '•AI/BIG Data uses cases implementation (including GPU) on Kubernetes environment ', '•Work with Sales team to identify the right solution for customer need and response to customer request for proposal ', '', '•Technologies: Kubernetes, Docker, HPE EZMERAL container platform, HPE Ezmeral data fabric(ex MAPR), Spar on Kubernetes (spark Operator), ML-OPS, Hive, Drill, AWS, HPE Ezmeral Data Fabric Database, HPE Ezmeral Data Fabric Event Data Streams, Kubeflow, ArgoCD, GIT, TensorFlow, Seldon IO, MinIO, Grafana, Prometheus, Kibana']",•Directly engage with customers to design and implement solutions including designing architectures and implementing solutions ,•Design solution and technical design documentation ,•Provides feedback to the Product management team,•Help customers migrate and/or build workloads towards production in the Ezmeral container Platform,•Install & configure Ezmeral Container platform ,•Install & configure Ezmeral Data fabric ,•Estimate load and build customer needs ,"•Organize Calls, meetings and workshops ",•Guide customers - technical architecture and investments,•AI/BIG Data uses cases implementation (including GPU) on Kubernetes environment ,BIG DATA & KUBERNETES TECHNICAL SOLUTION ARCHITECT
273,['unckown'],unckown,,,,,,,,,,Data Engineer
274,['Skills: Agile Project Management · Jira · Confluence · Agile Methodologies'],Skills: Agile Project Management · Jira · Confluence · Agile Methodologies,,,,,,,,,,Atlassian consultant
275,"['• Analyze and elaborate requirements specifications for customers ‘requests.', '• Design and implementation of new functions.', '• Perform unit tests.', '• Support and functional support.', 'Keywords: Python, JAVA, PL/SQL, SCRUM, Shell Scripting, JIRA,UBIX']",• Analyze and elaborate requirements specifications for customers ‘requests.,• Design and implementation of new functions.,• Perform unit tests.,• Support and functional support.,"Keywords: Python, JAVA, PL/SQL, SCRUM, Shell Scripting, JIRA,UBIX",,,,,,Software Engineer
276,"['Analyzed and integrated complex data sources. (e.g. OpenData', 'portals, UNODC)', 'Build reliable data pipelines to move data from the web to our', 'infrastructure and Deploy it.', 'Cleaned and transformed datasets to be used directly for data', 'Driven projects.', 'KEYWORDS: Python, Pandas, SQL, BeautifulSoup, Docker and', 'Kubernetes.']",Analyzed and integrated complex data sources. (e.g. OpenData,"portals, UNODC)",Build reliable data pipelines to move data from the web to our,infrastructure and Deploy it.,Cleaned and transformed datasets to be used directly for data,Driven projects.,"KEYWORDS: Python, Pandas, SQL, BeautifulSoup, Docker and",Kubernetes.,,,Data Engineering Internal
277,"['# Context', 'Continuous optimization of the Data Global model for the Healthcare Data Warehouse.', 'Analysis, Conception and integration of the data sources into a new model.', '', '# Activities', '* Analysis of the existing Data models, Data Sources, and Data flow. ', '* Understanding of the different business processes and the business requirements for each entity and the interaction between different entities and different applications on the Data layer and the reporting layer', '* Detecting the issue within the existance models and offer alternatives to improve the performance and the data quality within the new models. ', '* Planning and estimates for the Data Team within the different project phases. ', '* Modeling (Entity Relationship Models, Conceptual Data Models, Logical Data Models)', '* Mapping and Documentation of Data Warehouse Componenets ', '* Work with the Data Architecture Team to look in different strategies for future business needs.', '', '# Environment', 'Data Modeling (Erwin, Kimball), Data Marts, Functional Architecture, MS Azure, SQL Server, SAS']",# Context,Continuous optimization of the Data Global model for the Healthcare Data Warehouse.,"Analysis, Conception and integration of the data sources into a new model.",,# Activities,"* Analysis of the existing Data models, Data Sources, and Data flow. ",* Understanding of the different business processes and the business requirements for each entity and the interaction between different entities and different applications on the Data layer and the reporting layer,* Detecting the issue within the existance models and offer alternatives to improve the performance and the data quality within the new models. ,* Planning and estimates for the Data Team within the different project phases. ,"* Modeling (Entity Relationship Models, Conceptual Data Models, Logical Data Models)",Data Architect
278,"['- Configuration of LoRa® device', '- Provisioning and analysis of device operation on Live Objects.', '- Data collection via portal mode, via API mode and data routing on a server via http Push and MQTT protocols.']",- Configuration of LoRa® device,- Provisioning and analysis of device operation on Live Objects.,"- Data collection via portal mode, via API mode and data routing on a server via http Push and MQTT protocols.",,,,,,,, LoRa/LoRaWAN Engineer
279,"['Customer: Zatca, ', 'Role: PEGA SSA,', 'Duration: 6 months,', 'Rental: KSA,', 'Environment: Pega V8.3', 'Description:', ""The main objective of the mission: development, optimization and support work according to the customer's specifications."", 'Responsibilities and contributions:', '● Identity and model processes life cycles using flows and flows actions.', ""● Apply Pega's principals and implementation Backend rules: Activities, Data transformations, When rules..."", '● Create Data and work classes.', '● Design portals and implementation their matching user interfaces.', '● Optimize and develop Sections using different types of layouts.', '', 'Key Words: flow, flow actions, Activities, Data transforms, When rules, Data and work classes, portals, Sections, Layouts']","Customer: Zatca, ","Role: PEGA SSA,","Duration: 6 months,","Rental: KSA,",Environment: Pega V8.3,Description:,"The main objective of the mission: development, optimization and support work according to the customer's specifications.",Responsibilities and contributions:,● Identity and model processes life cycles using flows and flows actions.,"● Apply Pega's principals and implementation Backend rules: Activities, Data transformations, When rules...",Pega Consultant
280,"['Project: design and implantion of fullstack application for real estate renting using google maps service with controllable radius centered at the user', 'Team: 3 people.', 'Tasks:', '▪ Identifying technical requirements and conceptual design to create day-to-day Tasks.', '▪ Scrum-master and team framework.', '▪ Code review and code rest management.', '▪ FrontEnd and BackEnd development:', 'o Javascrip modules, templates, routers and components.', 'o Models, routers and middlewares.', 'o Data migration.', '▪ Functional test and Unit receipt.', '▪ Writing documentation.', 'Environment:', '• Techno & Languages: JS ES6, HTML, CSS.', '• Supporting Libraries: Bootstrap, Google Maps API, ExpressJS, Redux', '• Servers & Source Code Management: nodeJS, Git, NPM', '• IDE & Tools: VSCode, Chrome dev, Postman, Redux DevTools', '• DB: MongoDB']",Project: design and implantion of fullstack application for real estate renting using google maps service with controllable radius centered at the user,Team: 3 people.,Tasks:,▪ Identifying technical requirements and conceptual design to create day-to-day Tasks.,▪ Scrum-master and team framework.,▪ Code review and code rest management.,▪ FrontEnd and BackEnd development:,"o Javascrip modules, templates, routers and components.","o Models, routers and middlewares.",o Data migration.,Technical Analyst
281,['unckown'],unckown,,,,,,,,,,AI Analyst
282,['unckown'],unckown,,,,,,,,,,Data Scientist
283,['unckown'],unckown,,,,,,,,,,Integration Engineer
284,['unckown'],unckown,,,,,,,,,,Full Stack Developer
285,['unckown'],unckown,,,,,,,,,,Senior Data Scientist
286,['unckown'],unckown,,,,,,,,,,Data consultant
287,"['Developed specific ERP solutions and modules in progress QAD', 'Developed back-end services', 'Database administration and data migration', 'Developed Business intelligence solutions in SQL/ Power BI']",Developed specific ERP solutions and modules in progress QAD,Developed back-end services,Database administration and data migration,Developed Business intelligence solutions in SQL/ Power BI,,,,,,,Technical Consultant
288,['Mobile Networks - Supply Chain Digitalization & Architecture'],Mobile Networks - Supply Chain Digitalization & Architecture,,,,,,,,,,Data Scientist
289,"['Project: Mobile application E-Polycor for POLYCOR.INC (QUEBEC).', '', 'Tasks:', '-Development of a complete decision-making chain according to the Top-down process (Staging > ODS > DWH > DTM).', '- Development of SSIS flows.', '-Restitution of data via reports developed with PowerBI.', '-Recipe of developments and conduct of change with users.', '-Documentation.', ' -Project management using Azure Devops (VTS)', ' Technical Environment: SSIS, SSMS, POWER BI, DAX, T-SQL']",Project: Mobile application E-Polycor for POLYCOR.INC (QUEBEC).,,Tasks:,-Development of a complete decision-making chain according to the Top-down process (Staging > ODS > DWH > DTM).,- Development of SSIS flows.,-Restitution of data via reports developed with PowerBI.,-Recipe of developments and conduct of change with users.,-Documentation., -Project management using Azure Devops (VTS)," Technical Environment: SSIS, SSMS, POWER BI, DAX, T-SQL",Businnes intelligence consultant 
290,['unckown'],unckown,,,,,,,,,,Senior Full Stack Web Developer
291,"['Prediko is an inventory optimization platform for ecommerce brands. We的re helping companies forecast their inventory needs to eliminate stock outs and excess inventory. We are backed up by Techstars and founders of Klarna, Checkout, and Nuxe.']","Prediko is an inventory optimization platform for ecommerce brands. We的re helping companies forecast their inventory needs to eliminate stock outs and excess inventory. We are backed up by Techstars and founders of Klarna, Checkout, and Nuxe.",,,,,,,,,,Python Backend Developer
292,['unckown'],unckown,,,,,,,,,,Data Scientist
293,['Skills: Modeling · Natural Language Processing (NLP) · Machine Learning · Python (Programming Language)'],Skills: Modeling · Natural Language Processing (NLP) · Machine Learning · Python (Programming Language),,,,,,,,,,Data Scientist
294,"['• Automatic every step of machine learning to increase and improve Artificial intelligence solutions.', ""• I suggested using a Stable Diffusion model for image generation to sell it in the company's NFTs collection, which enhanced collection quantity and quality.""]",• Automatic every step of machine learning to increase and improve Artificial intelligence solutions.,"• I suggested using a Stable Diffusion model for image generation to sell it in the company's NFTs collection, which enhanced collection quantity and quality.",,,,,,,,, Data Scientist
295,['Skills: Web development'],Skills: Web development,,,,,,,,,,Web Manager
296,['Skills: Decision-Making · Detail oriented · Analytic Skills'],Skills: Decision-Making · Detail oriented · Analytic Skills,,,,,,,,,,Insurance Underwriter ( P&C Insurance )
297,['unckown'],unckown,,,,,,,,,,Data Scientist
298,"['Context: The vision of the Q&C organization requires raising emerging technologies in order to drive improved customer outcomes.', 'Activities:', '- Drive the Q&C organization to build, execute and scale NLP projects in line with E2E digital strategy. ', '- Managing a portfolio of NLP & AI projects delivering business value, including scaling projects into operations (MLOPS).', '- Educate the Q&C organization on the possibilities of NLP.']",Context: The vision of the Q&C organization requires raising emerging technologies in order to drive improved customer outcomes.,Activities:,"- Drive the Q&C organization to build, execute and scale NLP projects in line with E2E digital strategy. ","- Managing a portfolio of NLP & AI projects delivering business value, including scaling projects into operations (MLOPS).",- Educate the Q&C organization on the possibilities of NLP.,,,,,,Digital Quality Engineer NLP ML
299,['unckown'],unckown,,,,,,,,,,Full Stack Consultant
300,['unckown'],unckown,,,,,,,,,,Data Scientist
301,['Skills: Natural Language Processing (NLP) · Python web · Data Science · Machine Learning · Deep Learning · Recommender Systems'],Skills: Natural Language Processing (NLP) · Python web · Data Science · Machine Learning · Deep Learning · Recommender Systems,,,,,,,,,,Machine Learning Specialist
302,"['- Analyzing of real car data', '- Creating machine learning models for prevention of the vehicle state']",- Analyzing of real car data,- Creating machine learning models for prevention of the vehicle state,,,,,,,,,Senior Data Scientist
303,['unckown'],unckown,,,,,,,,,,Python Engineer
304,['unckown'],unckown,,,,,,,,,,Senior Data Scientist
305,['unckown'],unckown,,,,,,,,,,Data Scientist
306,['unckown'],unckown,,,,,,,,,,Data Scientist
307,"['Engineer - Researcher, Speciality : Applied Mathematics/ Computer Science/Control Theory.']","Engineer - Researcher, Speciality : Applied Mathematics/ Computer Science/Control Theory.",,,,,,,,,,Engineer - Researcher
308,['unckown'],unckown,,,,,,,,,, Power Platform Developer
309,"['Working for the fastest growing top tier consulting, IT services & BPS company.', ""Working as a consultant to the company's clients""]","Working for the fastest growing top tier consulting, IT services & BPS company.",Working as a consultant to the company's clients,,,,,,,,,Associate Python Developer
310,['unckown'],unckown,,,,,,,,,,Head of Recommendations
311,['unckown'],unckown,,,,,,,,,,Deployment Strategist
312,['unckown'],unckown,,,,,,,,,,Business Intelligence Developer
313,"['Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:', '> Dashboard with plots, charts, filters about the project, tickets and their managers.', '> Follow-up of the status of a task(Ticket) and its deadlines.', '> Team performance monitoring and the advancement of the sprint.', '> Advancement of the sprint.', '> Generation of business production plans.', '> Identification of project monitoring indicators (PPIs).']",Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:,"> Dashboard with plots, charts, filters about the project, tickets and their managers.",> Follow-up of the status of a task(Ticket) and its deadlines.,> Team performance monitoring and the advancement of the sprint.,> Advancement of the sprint.,> Generation of business production plans.,> Identification of project monitoring indicators (PPIs).,,,,Internal Business Intelligence 
314,"['Skills: Extract, Transform, Load (ETL) · Microsoft Power BI']","Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",,,,,,,,,,Business Intelligence Trainee
315,['unckown'],unckown,,,,,,,,,,Internship in engineering
316,"['CRM', 'Dynamic 365', 'Power BI']",CRM,Dynamic 365,Power BI,,,,,,,,Development of a partner portal
317,['unckown'],unckown,,,,,,,,,,unckown
318,['unckown'],unckown,,,,,,,,,,unckown
319,['unckown'],unckown,,,,,,,,,,Data Analyst
320,"['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,,,,,,Business Intelligence Developer
321,['unckown'],unckown,,,,,,,,,,Teacher trainer 
322,['unckown'],unckown,,,,,,,,,,unckown
323,['unckown'],unckown,,,,,,,,,,BI Consultant
324,['unckown'],unckown,,,,,,,,,,Business Intelligence Internal
325,"[""I'm currently a we3 developer at Lightency.""]",I'm currently a we3 developer at Lightency.,,,,,,,,,,web3 developer
326,['PFE course'],PFE course,,,,,,,,,,Trainee 
327,['unckown'],unckown,,,,,,,,,,Business Intelligence Engineer
328,['Developer in decision-making computing '],Developer in decision-making computing ,,,,,,,,,,Decision-making intelligence developer
329,['unckown'],unckown,,,,,,,,,,unckown
330,['Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS)'],Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),,,,,,,,,,Business Intelligence Internal
331,"['Consultant Business intelligence ', 'Qlik Sense, Qlik View, MSBI, Talend']",Consultant Business intelligence ,"Qlik Sense, Qlik View, MSBI, Talend",,,,,,,,,Consultant Business Intelligence 
332,['unckown'],unckown,,,,,,,,,,Co-founder & CEO 
333,['Back-development '],Back-development ,,,,,,,,,,Trainee
334,['unckown'],unckown,,,,,,,,,,Student 
335,['Study and Administration of The ERP SageX3'],Study and Administration of The ERP SageX3,,,,,,,,,,ERP-BI Internal at Adwya
336,['Skills: Microsoft Excel'],Skills: Microsoft Excel,,,,,,,,,,Business Intelligence Internal
337,['unckown'],unckown,,,,,,,,,,ERP-BI internal
338,['unckown'],unckown,,,,,,,,,,Business Intelligence Developer
339,"['-Development of a mobile application ""Slot-Machine""', '-(React-native / Web) ', '-Directed according to the SCRUM methodology', '-Diagram class', '-Backlog']","-Development of a mobile application ""Slot-Machine""",-(React-native / Web) ,-Directed according to the SCRUM methodology,-Diagram class,-Backlog,,,,,,Mobile Application Developer
340,['unckown'],unckown,,,,,,,,,,Business Intelligence Engineer
341,['unckown'],unckown,,,,,,,,,,Junior Business Intelligence developer 
342,['unckown'],unckown,,,,,,,,,,Business Intelligence Engineer 
343,['Skills: ETL Tools · SQL · Business Intelligence (BI) · Python (Programming Language) · Talend Open Studio · Microsoft Excel · Microsoft Power BI'],Skills: ETL Tools · SQL · Business Intelligence (BI) · Python (Programming Language) · Talend Open Studio · Microsoft Excel · Microsoft Power BI,,,,,,,,,,Business Intelligence Consultant
344,['Skills: Microsoft Power BI · SQL Server Management Studio · Microsoft SQL Server · SQL'],Skills: Microsoft Power BI · SQL Server Management Studio · Microsoft SQL Server · SQL,,,,,,,,,,Business Intelligence Internal
345,['Skills: Business Intelligence (BI) · Microsoft Dynamics AX · SQL'],Skills: Business Intelligence (BI) · Microsoft Dynamics AX · SQL,,,,,,,,,,Business Intelligence Internal
346,"['• Analyze and identify functional and technical needs.\r', '• Model and enrich the datawarehouse.\r', '• Scheduling and deployment of jobs.\r', '• Guidance: Training and mentoring of trainees for end-of-studies projects']","• Analyze and identify functional and technical needs.","• Model and enrich the datawarehouse.","• Scheduling and deployment of jobs.",• Guidance: Training and mentoring of trainees for end-of-studies projects,,,,,,,Consultant business intelligence
347,['unckown'],unckown,,,,,,,,,,unckown
348,['unckown'],unckown,,,,,,,,,,Consultant Business Intelligence
349,"['Data Lake Management - Methodology: Scrum Tools: Azure, Jira, Confluence, SharePoint.', 'Reporting - Tools: PowerBI']","Data Lake Management - Methodology: Scrum Tools: Azure, Jira, Confluence, SharePoint.",Reporting - Tools: PowerBI,,,,,,,,,Internal Global Data Analytics 
350,"['Project Internship End of Study: ', '-Realization of the functional study.', '-Participation in all phases of ETL. ', '-Dashboard development.', '-Prediction using Machine learning algorithms.', '-Integrate the solution into a web interface using the Django Framework.']",Project Internship End of Study: ,-Realization of the functional study.,-Participation in all phases of ETL. ,-Dashboard development.,-Prediction using Machine learning algorithms.,-Integrate the solution into a web interface using the Django Framework.,,,,,Business Intelligence Trainee
351,['Study and configuration of MDM interfaces with SAP'],Study and configuration of MDM interfaces with SAP,,,,,,,,,,SAP Bases Consultant
352,['Skills: After Effects · User Experience (UX) · Adobe Photoshop · Adobe Illustrator · Figma (Software)'],Skills: After Effects · User Experience (UX) · Adobe Photoshop · Adobe Illustrator · Figma (Software),,,,,,,,,,Senior Graphic Designer
353,['unckown'],unckown,,,,,,,,,,Business Intelligence Internal
354,['unckown'],unckown,,,,,,,,,,Data Analyst
355,"['Responsible for planning, organizing, allocating resources for budgeting, and successfully implementing IT Project goals.']","Responsible for planning, organizing, allocating resources for budgeting, and successfully implementing IT Project goals.",,,,,,,,,,IT Project Manager Engineer
356,['Skills: Microsoft Power BI · Project Management'],Skills: Microsoft Power BI · Project Management,,,,,,,,,,Business intelligence 
357,"['JCI OLM Beni Khalled-Nabeul-Tunisia', '2023: President ', '2022: Vice-President Treasury', '2021: External Auditor ', '2020: Full founding member']",JCI OLM Beni Khalled-Nabeul-Tunisia,2023: President ,2022: Vice-President Treasury,2021: External Auditor ,2020: Full founding member,,,,,,Vice-President Treasury
358,['unckown'],unckown,,,,,,,,,,Data & Analytics consultant
