,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,cluster
223,Data Scientist,PythonMachine LearningAmazon Web Services (AWS)Natural Language Processing (NLP)Statistical Data AnalysisData Analysis,['Skills: Python · Machine Learning · Amazon Web Services (AWS) · Natural Language Processing (NLP) · Apache Spark'],Skills: Python · Machine Learning · Amazon Web Services (AWS) · Natural Language Processing (NLP) · Apache Spark,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
224,Data Scientist,Python (Programming Language)Organization SkillsTeam LeadershipMicrosoft OfficeDataiku DSSTeamwork,"['- Exploring methods to handle imbalanced data', '- Tuning hyperparameters of XGBoost Classify using hyperopt', '- Exploring Imputation techniques ', '- Refactoring code: using Pydantic library instead of dataclass... ', '- Creating workflow using docker and apache-airflow']",- Exploring methods to handle imbalanced data,- Tuning hyperparameters of XGBoost Classify using hyperopt,- Exploring Imputation techniques ,- Refactoring code: using Pydantic library instead of dataclass... ,- Creating workflow using docker and apache-airflow,unknown,unknown,unknown,unknown,unknown,1.0
225,Software Developer,ResearchJavaScriptSoftware DevelopmentFront-End DevelopmentFull-Stack DevelopmentMultilingual,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,5.0
226,Retail Consultant/ Data Engineer,Microsoft OfficeMicrosoft Power BIMicrosoft PowerPointSQLPythonTeamwork,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
227,Developer/Developer of operating solutions/ Data Scientist,PythonJavaAngularC++SQLOracle Database,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
228,Consultant MS Dynamics NAV/BC,IBM WatsonHadoopSQL NoApache StormApache SparkMicrosoft BI Suite,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
229,Data Analyst,Analytical SkillsMathematicsPython (Programming Language)Data AnalysisOracle DatabaseJava,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
230,Data consultant,Machine LearningBig DataData miningPythonDeep learningTime series,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
231,Data Scientist,Machine LearningSQLArtificial Intelligence (AI)JavaData AnalysisFinancial Analysis,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
232,Machine Learning Engineer,PythonMachine LearningNatural Language Processing (NLP)SAS programmingProject managementC++,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
233,Blogger,Pythonmachine learningRMachine LearningJavaC++,"['A blog about AI, Machine Learning, and practical topics.', 'https://jouini-ghada1.medium.com/']","A blog about AI, Machine Learning, and practical topics.",https://jouini-ghada1.medium.com/,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
234,SAP BI Support Engineer,JavaMySQLMachine LearningDeep LearningSymfonyPython (Programming Language),['Skills: SAP BI'],Skills: SAP BI,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
235,SAP Retail functional consultant ,SAP S/4HANAMachine learningBusiness Intelligence (BI)Big DataArtificial IntelligenceDeep Learning,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
236,Cost Engineer and Consulting,Microsoft ExcelPython (programming language)Automatic learningStudy of time seriesRNNPandas (software),"['Develop a unique benchmarking solution that helps customers find the best compromise between technology and cost priorities, supporting projects through the product life cycle, from concept development to optimization serial costs.']","Develop a unique benchmarking solution that helps customers find the best compromise between technology and cost priorities, supporting projects through the product life cycle, from concept development to optimization serial costs.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
237,Data Engineer,Machine LearningDeep LearningArtificial IntelligenceData AnalysisBusiness Intelligence (BI)Computer Vision,['Data Engineer part of the food catalog team'],Data Engineer part of the food catalog team,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
238,BIG DATA & KUBERNETES TECHNICAL SOLUTION ARCHITECT,Big dataHadoopApache SparkJavaMachine LearningCloud,"['•Directly engage with customers to design and implement solutions including designing architectures and implementing solutions ', '•Design solution and technical design documentation ', '•Provides feedback to the Product management team', '•Help customers migrate and/or build workloads towards production in the Ezmeral container Platform', '•Install & configure Ezmeral Container platform ', '•Install & configure Ezmeral Data fabric ', '•Estimate load and build customer needs ', '•Organize Calls, meetings and workshops ', '•Guide customers - technical architecture and investments', '•AI/BIG Data uses cases implementation (including GPU) on Kubernetes environment ', '•Work with Sales team to identify the right solution for customer need and response to customer request for proposal ', '', '•Technologies: Kubernetes, Docker, HPE EZMERAL container platform, HPE Ezmeral data fabric(ex MAPR), Spar on Kubernetes (spark Operator), ML-OPS, Hive, Drill, AWS, HPE Ezmeral Data Fabric Database, HPE Ezmeral Data Fabric Event Data Streams, Kubeflow, ArgoCD, GIT, TensorFlow, Seldon IO, MinIO, Grafana, Prometheus, Kibana']",•Directly engage with customers to design and implement solutions including designing architectures and implementing solutions ,•Design solution and technical design documentation ,•Provides feedback to the Product management team,•Help customers migrate and/or build workloads towards production in the Ezmeral container Platform,•Install & configure Ezmeral Container platform ,•Install & configure Ezmeral Data fabric ,•Estimate load and build customer needs ,"•Organize Calls, meetings and workshops ",•Guide customers - technical architecture and investments,•AI/BIG Data uses cases implementation (including GPU) on Kubernetes environment ,0.0
239,Data Engineer,Data CleaningData VisualizationBusiness IntelligenceBig DataData Sciencepython,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
240,Atlassian consultant,Agile Project ManagementJiraConfluencePython (Programming Language)Agile MethodologiesCommunication,['Skills: Agile Project Management · Jira · Confluence · Agile Methodologies'],Skills: Agile Project Management · Jira · Confluence · Agile Methodologies,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
241,Software Engineer,ScrumDatabasesJiraLinuxData ScienceDeep Learning,"['• Analyze and elaborate requirements specifications for customers ‘requests.', '• Design and implementation of new functions.', '• Perform unit tests.', '• Support and functional support.', 'Keywords: Python, JAVA, PL/SQL, SCRUM, Shell Scripting, JIRA,UBIX']",• Analyze and elaborate requirements specifications for customers ‘requests.,• Design and implementation of new functions.,• Perform unit tests.,• Support and functional support.,"Keywords: Python, JAVA, PL/SQL, SCRUM, Shell Scripting, JIRA,UBIX",unknown,unknown,unknown,unknown,unknown,5.0
242,Data Engineering Internal,SQLJavaJavaScriptPythonCC++,"['Analyzed and integrated complex data sources. (e.g. OpenData', 'portals, UNODC)', 'Build reliable data pipelines to move data from the web to our', 'infrastructure and Deploy it.', 'Cleaned and transformed datasets to be used directly for data', 'Driven projects.', 'KEYWORDS: Python, Pandas, SQL, BeautifulSoup, Docker and', 'Kubernetes.']",Analyzed and integrated complex data sources. (e.g. OpenData,"portals, UNODC)",Build reliable data pipelines to move data from the web to our,infrastructure and Deploy it.,Cleaned and transformed datasets to be used directly for data,Driven projects.,"KEYWORDS: Python, Pandas, SQL, BeautifulSoup, Docker and",Kubernetes.,unknown,unknown,1.0
243,Data Architect,Business IntelligenceMicrosoft Power BIData AnalysisConsultingBusiness AnalysisProject Management,"['# Context', 'Continuous optimization of the Data Global model for the Healthcare Data Warehouse.', 'Analysis, Conception and integration of the data sources into a new model.', '', '# Activities', '* Analysis of the existing Data models, Data Sources, and Data flow. ', '* Understanding of the different business processes and the business requirements for each entity and the interaction between different entities and different applications on the Data layer and the reporting layer', '* Detecting the issue within the existance models and offer alternatives to improve the performance and the data quality within the new models. ', '* Planning and estimates for the Data Team within the different project phases. ', '* Modeling (Entity Relationship Models, Conceptual Data Models, Logical Data Models)', '* Mapping and Documentation of Data Warehouse Componenets ', '* Work with the Data Architecture Team to look in different strategies for future business needs.', '', '# Environment', 'Data Modeling (Erwin, Kimball), Data Marts, Functional Architecture, MS Azure, SQL Server, SAS']",# Context,Continuous optimization of the Data Global model for the Healthcare Data Warehouse.,"Analysis, Conception and integration of the data sources into a new model.",unknown,# Activities,"* Analysis of the existing Data models, Data Sources, and Data flow. ",* Understanding of the different business processes and the business requirements for each entity and the interaction between different entities and different applications on the Data layer and the reporting layer,* Detecting the issue within the existance models and offer alternatives to improve the performance and the data quality within the new models. ,* Planning and estimates for the Data Team within the different project phases. ,"* Modeling (Entity Relationship Models, Conceptual Data Models, Logical Data Models)",1.0
244, LoRa/LoRaWAN Engineer,StatisticsWireless engineeringData visualizationStatistical modellingData partitioningData engineering,"['- Configuration of LoRa® device', '- Provisioning and analysis of device operation on Live Objects.', '- Data collection via portal mode, via API mode and data routing on a server via http Push and MQTT protocols.']",- Configuration of LoRa® device,- Provisioning and analysis of device operation on Live Objects.,"- Data collection via portal mode, via API mode and data routing on a server via http Push and MQTT protocols.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
245,Pega Consultant,PegaBig DataMachine learningDecision-making informaticsScrumProject management,"['Customer: Zatca, ', 'Role: PEGA SSA,', 'Duration: 6 months,', 'Rental: KSA,', 'Environment: Pega V8.3', 'Description:', ""The main objective of the mission: development, optimization and support work according to the customer's specifications."", 'Responsibilities and contributions:', '● Identity and model processes life cycles using flows and flows actions.', ""● Apply Pega's principals and implementation Backend rules: Activities, Data transformations, When rules..."", '● Create Data and work classes.', '● Design portals and implementation their matching user interfaces.', '● Optimize and develop Sections using different types of layouts.', '', 'Key Words: flow, flow actions, Activities, Data transforms, When rules, Data and work classes, portals, Sections, Layouts']","Customer: Zatca, ","Role: PEGA SSA,","Duration: 6 months,","Rental: KSA,",Environment: Pega V8.3,Description:,"The main objective of the mission: development, optimization and support work according to the customer's specifications.",Responsibilities and contributions:,● Identity and model processes life cycles using flows and flows actions.,"● Apply Pega's principals and implementation Backend rules: Activities, Data transformations, When rules...",0.0
246,Technical Analyst,React.jsExpress.jsGoogle Maps APIRedux.jsNode.jsChrome Developer Tools,"['Project: design and implantion of fullstack application for real estate renting using google maps service with controllable radius centered at the user', 'Team: 3 people.', 'Tasks:', '▪ Identifying technical requirements and conceptual design to create day-to-day Tasks.', '▪ Scrum-master and team framework.', '▪ Code review and code rest management.', '▪ FrontEnd and BackEnd development:', 'o Javascrip modules, templates, routers and components.', 'o Models, routers and middlewares.', 'o Data migration.', '▪ Functional test and Unit receipt.', '▪ Writing documentation.', 'Environment:', '• Techno & Languages: JS ES6, HTML, CSS.', '• Supporting Libraries: Bootstrap, Google Maps API, ExpressJS, Redux', '• Servers & Source Code Management: nodeJS, Git, NPM', '• IDE & Tools: VSCode, Chrome dev, Postman, Redux DevTools', '• DB: MongoDB']",Project: design and implantion of fullstack application for real estate renting using google maps service with controllable radius centered at the user,Team: 3 people.,Tasks:,▪ Identifying technical requirements and conceptual design to create day-to-day Tasks.,▪ Scrum-master and team framework.,▪ Code review and code rest management.,▪ FrontEnd and BackEnd development:,"o Javascrip modules, templates, routers and components.","o Models, routers and middlewares.",o Data migration.,0.0
247,AI Analyst,Data Sciencemachine learningDeep learningComputer VisionData MiningBig Data,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
248,Data Scientist,Python (Programming Language)TableMachine LearningmarketingProject ManagementBrand Management,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
249,Integration Engineer,Big DataBusiness intelligenceData MiningPython (Programming Language)Data AnalysisData Warehousing,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
250,Full Stack Developer,Full-Stack DevelopmentData ScienceSQLMachine learningData AnalysisBusiness Intelligence,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,4.0
251,Senior Data Scientist,Data ScienceMachine LearningDeep LearningStatisticsArtificial Intelligence (AI)Navy,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
252,Data consultant,Data miningBICorporate financejavatime seriesSymfony,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
253,Technical Consultant,MySQLJavapythonCC++C#,"['Developed specific ERP solutions and modules in progress QAD', 'Developed back-end services', 'Database administration and data migration', 'Developed Business intelligence solutions in SQL/ Power BI']",Developed specific ERP solutions and modules in progress QAD,Developed back-end services,Database administration and data migration,Developed Business intelligence solutions in SQL/ Power BI,unknown,unknown,unknown,unknown,unknown,unknown,0.0
254,Data Scientist,Business IntelligenceData MiningRBig dataDecision-making informaticsETL,['Mobile Networks - Supply Chain Digitalization & Architecture'],Mobile Networks - Supply Chain Digitalization & Architecture,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
255,Businnes intelligence consultant ,AnalyticalData analysisPythonDecision-making informaticsFinanceR,"['Project: Mobile application E-Polycor for POLYCOR.INC (QUEBEC).', '', 'Tasks:', '-Development of a complete decision-making chain according to the Top-down process (Staging > ODS > DWH > DTM).', '- Development of SSIS flows.', '-Restitution of data via reports developed with PowerBI.', '-Recipe of developments and conduct of change with users.', '-Documentation.', ' -Project management using Azure Devops (VTS)', ' Technical Environment: SSIS, SSMS, POWER BI, DAX, T-SQL']",Project: Mobile application E-Polycor for POLYCOR.INC (QUEBEC).,unknown,Tasks:,-Development of a complete decision-making chain according to the Top-down process (Staging > ODS > DWH > DTM).,- Development of SSIS flows.,-Restitution of data via reports developed with PowerBI.,-Recipe of developments and conduct of change with users.,-Documentation., -Project management using Azure Devops (VTS)," Technical Environment: SSIS, SSMS, POWER BI, DAX, T-SQL",0.0
256,Senior Full Stack Web Developer,JavaMySQLJavaScriptAngularjsNodeJSPHP,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,4.0
257,Python Backend Developer,MongoDBSQLAlchemyUnit TestingFlaskMySQLR (Programming Language),"['Prediko is an inventory optimization platform for ecommerce brands. We的re helping companies forecast their inventory needs to eliminate stock outs and excess inventory. We are backed up by Techstars and founders of Klarna, Checkout, and Nuxe.']","Prediko is an inventory optimization platform for ecommerce brands. We的re helping companies forecast their inventory needs to eliminate stock outs and excess inventory. We are backed up by Techstars and founders of Klarna, Checkout, and Nuxe.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
258,Data Scientist,Software Engineering PracticesComputer ScienceAutomated Software TestingSoftware TestingLearnable Evolutionary AlgorithmsSimulations,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
259,Data Scientist,ModelingNatural Language Processing (NLP)Microsoft ExcelObjection HandlingSalesMaterials Science,['Skills: Modeling · Natural Language Processing (NLP) · Machine Learning · Python (Programming Language)'],Skills: Modeling · Natural Language Processing (NLP) · Machine Learning · Python (Programming Language),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
260, Data Scientist,Artificial intelligenceData scienceCloud ComputingDeep learningmachine learningunknown,"['• Automatic every step of machine learning to increase and improve Artificial intelligence solutions.', ""• I suggested using a Stable Diffusion model for image generation to sell it in the company's NFTs collection, which enhanced collection quantity and quality.""]",• Automatic every step of machine learning to increase and improve Artificial intelligence solutions.,"• I suggested using a Stable Diffusion model for image generation to sell it in the company's NFTs collection, which enhanced collection quantity and quality.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
261,Web Manager,deepstreamNatural Language Toolkit (NLTK)KerasTensorFlowDecision-making informaticsDeep learning,['Skills: Web development'],Skills: Web development,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
262,Insurance Underwriter ( P&C Insurance ),Decision-MakingDetails orientatedUnderwritingInsuranceProperty and Casualty InsuranceLogical Reasoning,['Skills: Decision-Making · Detail oriented · Analytic Skills'],Skills: Decision-Making · Detail oriented · Analytic Skills,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
263,Data Scientist,Machine LearningPython (Programming Language)Data AnalysisiOS DevelopmentProject ManagementAndroid Development,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
264,Digital Quality Engineer NLP ML,PythonNatural Language ProcessingMachine LearningBusiness IntelligenceData MiningData Modeling,"['Context: The vision of the Q&C organization requires raising emerging technologies in order to drive improved customer outcomes.', 'Activities:', '- Drive the Q&C organization to build, execute and scale NLP projects in line with E2E digital strategy. ', '- Managing a portfolio of NLP & AI projects delivering business value, including scaling projects into operations (MLOPS).', '- Educate the Q&C organization on the possibilities of NLP.']",Context: The vision of the Q&C organization requires raising emerging technologies in order to drive improved customer outcomes.,Activities:,"- Drive the Q&C organization to build, execute and scale NLP projects in line with E2E digital strategy. ","- Managing a portfolio of NLP & AI projects delivering business value, including scaling projects into operations (MLOPS).",- Educate the Q&C organization on the possibilities of NLP.,unknown,unknown,unknown,unknown,unknown,0.0
265,Full Stack Consultant,JavaPythonBig DataAgile methodsSoftware developmentData analysis,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,4.0
266,Data Scientist,TeamworkIT skillsAnalysisMathematicsStatisticsAnalytical Skills,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
267,Machine Learning Specialist,ClusteringSupervised LearningClassificationPredictive ModelingMySQLPostgreSQL,['Skills: Natural Language Processing (NLP) · Python web · Data Science · Machine Learning · Deep Learning · Recommender Systems'],Skills: Natural Language Processing (NLP) · Python web · Data Science · Machine Learning · Deep Learning · Recommender Systems,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
268,Senior Data Scientist,Python (Programmiersprache)Data ScienceProjektmanagementMotor industryBig DataProzessmanagement,"['- Analyzing of real car data', '- Creating machine learning models for prevention of the vehicle state']",- Analyzing of real car data,- Creating machine learning models for prevention of the vehicle state,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
269,Python Engineer,Data ScienceMathematicsIT developerProject managementStrategic planningComputer Science,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
270,Senior Data Scientist,PhysicsScienceLaTeXAstrophysicsPythonResearch,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
271,Data Scientist,Optimal controlCommon differential equitiesJuliaResearchStudy of time seriesPython (programming language),['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
272,Data Scientist,Google AnalyticsManagementMachine LearningSoftware DevelopmentDeep LearningObject-Oriented Programming (OOP),['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
273,Engineer - Researcher,MatlabCC++ProgrammingSimulationsMicrocontrollers,"['Engineer - Researcher, Speciality : Applied Mathematics/ Computer Science/Control Theory.']","Engineer - Researcher, Speciality : Applied Mathematics/ Computer Science/Control Theory.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
274, Power Platform Developer,Decision-making informaticsPythonCBig DataTalendData Warehouse,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
275,Associate Python Developer,JenkinsAmazon Web Services (AWS)Python (Programming Language)JavaScriptC (Programming Language)Linux System Administration,"['Working for the fastest growing top tier consulting, IT services & BPS company.', ""Working as a consultant to the company's clients""]","Working for the fastest growing top tier consulting, IT services & BPS company.",Working as a consultant to the company's clients,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
276,Head of Recommendations,sqlPythonAnaliza danych biznesowychMarketing ResearchMarketingMarketing Communications,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
277,Deployment Strategist,PythonSQLMachine LearningStatistical Data AnalysisCurrent ScienceMergers & Acquisitions,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
278,Business Intelligence Developer,SQL Server Integration Services (SSIS)SQL Server Management StudioSQLSpring BootAngularData analysis,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
279,Internal Business Intelligence ,RedmineMicrosoft Power BITalend Open StudioRBig dataDeep learning,"['Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:', '> Dashboard with plots, charts, filters about the project, tickets and their managers.', '> Follow-up of the status of a task(Ticket) and its deadlines.', '> Team performance monitoring and the advancement of the sprint.', '> Advancement of the sprint.', '> Generation of business production plans.', '> Identification of project monitoring indicators (PPIs).']",Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:,"> Dashboard with plots, charts, filters about the project, tickets and their managers.",> Follow-up of the status of a task(Ticket) and its deadlines.,> Team performance monitoring and the advancement of the sprint.,> Advancement of the sprint.,> Generation of business production plans.,> Identification of project monitoring indicators (PPIs).,unknown,unknown,unknown,2.0
280,Business Intelligence Trainee,"Extract, Transform, Load (ETL)LeadershipEngineeringProject managementRStudio.NET Core","['Skills: Extract, Transform, Load (ETL) · Microsoft Power BI']","Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
281,Internship in engineering,Machine learning algorithmsPostgreSQLPython (programming language)Project managementJava.NET framework,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
282,Development of a partner portal,E-commerceDigital marketingDecision-making informaticsTeamworkProject managementCustomer Relationship Management (CRM),"['CRM', 'Dynamic 365', 'Power BI']",CRM,Dynamic 365,Power BI,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
283,Data Analyst,"Power BITalendPythonExtract, transform, load (ETL)Data analysisSQL Server Integration Services (SSIS)",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.0
284,Business Intelligence Developer,Microsoft Power BIPython (programming language)R (programming language)Spring Boot.NET frameworkProject management,"['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,unknown,unknown,unknown,unknown,unknown,2.0
285,Teacher trainer ,unknownunknownunknownunknownunknownunknown,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
286,BI Consultant,JavaCJavaScriptTalend Open StudioPower BIData analysis,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
287,Business Intelligence Internal,TelecommunicationsMicrosoft WordStrategic planningBusiness intelligenceBig dataData analysis,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
288,web3 developer,PHPHTML5JavaScriptHTMLNode.jsLaravel,"[""I'm currently a we3 developer at Lightency.""]",I'm currently a we3 developer at Lightency.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
289,Trainee ,PostgreSQLTalendMicrosoft Power BIunknownunknownunknown,['PFE course'],PFE course,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
290,Business Intelligence Engineer,Data AnalyticsGamingpythonMicrosoft Power BIMicrosoft ExcelGoogle Analytics,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
291,Decision-making intelligence developer,AnalyticalMicrosoft Power BISQLDecision-making informaticsSQL Server Integration Services (SSIS)Microsoft BI Suite,['Developer in decision-making computing '],Developer in decision-making computing ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
292,Business Intelligence Internal,DevOpsAngularSpring BootMicrosoft Power BIBusiness Intelligence (BI)Big Data,['Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS)'],Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
293,Consultant Business Intelligence ,Big DataData analysispythonAgile methodsShell ScriptScrum,"['Consultant Business intelligence ', 'Qlik Sense, Qlik View, MSBI, Talend']",Consultant Business intelligence ,"Qlik Sense, Qlik View, MSBI, Talend",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
294,Co-founder & CEO ,ScrumOracle SQL DeveloperDatabase designApache KafkaSQLSQL Server Management Studio,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
295,Student ,FinanceFinancial analysisFinTechEmotional intelligenceNon-profit organizationsunknown,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
296,ERP-BI Internal at Adwya,ERPSQL Server Integration Services (SSIS)HadoopMapReduceSpring BootMicrosoft Power BI,['Study and Administration of The ERP SageX3'],Study and Administration of The ERP SageX3,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
297,Business Intelligence Internal,Machine LearningArtificial Intelligence (AI)JavaPython (Programming Language)Database Management System (DBMS)C (Programming Language),['Skills: Microsoft Excel'],Skills: Microsoft Excel,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
298,ERP-BI internal,JavaMusicDecision-making informaticsSelf-confidenceControl of angerPsychology of counsel,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0
299,Business Intelligence Developer,"Extract, Transform, Load (ETL)SQLMicrosoft Power QuerypowerbiOracle SQL DeveloperMicrosoft SQL Server",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
300,Mobile Application Developer,Native reactionMicrosoft OfficeUnified Modeling Language (UML)ScrumCommunicationTeamwork,"['-Development of a mobile application ""Slot-Machine""', '-(React-native / Web) ', '-Directed according to the SCRUM methodology', '-Diagram class', '-Backlog']","-Development of a mobile application ""Slot-Machine""",-(React-native / Web) ,-Directed according to the SCRUM methodology,-Diagram class,-Backlog,unknown,unknown,unknown,unknown,unknown,0.0
301,Business Intelligence Engineer,JavaWeb applicationsBusinessPostman APISpring BootC#,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
302,Junior Business Intelligence developer ,unknownunknownunknownunknownunknownunknown,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
303,Business Intelligence Engineer ,"Extract, Transform, Load (ETL)SQLMDXMySQLAnalysis servicesMicrosoft Power BI",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
304,Business Intelligence Consultant,ETL ToolsSQLBusiness Intelligence (BI)SQL Server Integration Services (SSIS)Python (Programming Language)Talend Open Studio,['Skills: ETL Tools · SQL · Business Intelligence (BI) · Python (Programming Language) · Talend Open Studio · Microsoft Excel · Microsoft Power BI'],Skills: ETL Tools · SQL · Business Intelligence (BI) · Python (Programming Language) · Talend Open Studio · Microsoft Excel · Microsoft Power BI,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
305,Business Intelligence Internal,"Microsoft Power BISQL Server Management StudioMicrosoft SQL ServerExtract, Transform, Load (ETL)SQLPython (programming language)",['Skills: Microsoft Power BI · SQL Server Management Studio · Microsoft SQL Server · SQL'],Skills: Microsoft Power BI · SQL Server Management Studio · Microsoft SQL Server · SQL,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.0
