,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10
225,Internal at Advancia IT System working on Predictive analysis of technical support activity,Emotional IntelligencePersonal DevelopmentLife SkillsResiliencyChange ReadinessEasily Adaptable,['Worked on Predictive analysis of technical support Tickets.'],Worked on Predictive analysis of technical support Tickets.,,,,,,,,,
226,Cyber Security Consultant,Automatic learningCybersecurityRed TeamingPenetration TestingCybersecurityCyber Operations,['Working on cyber security and AI related subjects'],Working on cyber security and AI related subjects,,,,,,,,,
227,Lead Data Scientist - Analytics,Business IntelligenceMySQLEntrepreneurshipPythonMachine LearningSQL,['unknown'],unknown,,,,,,,,,
228,Client Engineering Data Scientist,Data AnalysisData ScienceMachine LearningDatabase AdministrationWeb DevelopmentBig data,['unknown'],unknown,,,,,,,,,
229,Data Scientist internally,Data AnalysisSQLFlaskDjangoPython (Programming Language)Deep Learning,"[""Analysis and modelling of a time series data set of household electricity consumption using ARIMA, LSTM, and Facebook Prophet models. The main objective is to drill the next year's consumption to minimize the cost of the bill."", 'Make it possible to extract table layout and content from PDF files and images in an Excel sheet using the Azure Form Recognizer API and the openpyxl library.']","Analysis and modelling of a time series data set of household electricity consumption using ARIMA, LSTM, and Facebook Prophet models. The main objective is to drill the next year's consumption to minimize the cost of the bill.",Make it possible to extract table layout and content from PDF files and images in an Excel sheet using the Azure Form Recognizer API and the openpyxl library.,,,,,,,,
230,Software Engineer,Python (Programming Language)FlaskMongoDBArtificial Neural NetworksDomain-Driven Design (DDD)CI/CD,['Skills: Domain-Driven Design (DDD) · CI/CD · Event Sourcing ·.NET 6 · C# · Amazon Web Services (AWS) · Microservices · Kubernetes'],Skills: Domain-Driven Design (DDD) · CI/CD · Event Sourcing ·.NET 6 · C# · Amazon Web Services (AWS) · Microservices · Kubernetes,,,,,,,,,
231,Current Data Scientist,C++JavaPythonRisk ManagementAsset and Liabilities Management (ALM)Current Science,['unknown'],unknown,,,,,,,,,
232,AI & Data Engineer Consultant,Machine LearningPython (Programming Language)Data EngineeringData AnalysisSoftware engineeringWeb Development,"['Client 1', 'Nike European Headquarters (EMEA Enterprise and Data Analytics team). ', '', 'Client 2 ', 'ABN AMRO Dutch Bank (Partnership with Capgemini Innovation Team).']",Client 1,Nike European Headquarters (EMEA Enterprise and Data Analytics team). ,,Client 2 ,ABN AMRO Dutch Bank (Partnership with Capgemini Innovation Team).,,,,,
233,Data Scientist,JavaUMLReport WritingJ2EE Application DevelopmentPersuasive Presentation SkillsJava Enterprise Edition,"['- Programming and modeling skills Mathematics', '- Mastery of massively parallel data processing technologies ', '- Design of prediction models (Machine Learning) ', '- Decision support ']",- Programming and modeling skills Mathematics,- Mastery of massively parallel data processing technologies ,- Design of prediction models (Machine Learning) ,- Decision support ,,,,,,
234,Data Scientist - Data Engineer,JavaRSQL NoPythonMATLABC#,"['Use of object detection models for extracting areas of interest in documents.', '- Annotation of the data.', '- Increased data with GANs.', '- Making an object detection model.', '- Use of OCR for text extraction.', '- Deployment of models in the form of a Backend API.']",Use of object detection models for extracting areas of interest in documents.,- Annotation of the data.,- Increased data with GANs.,- Making an object detection model.,- Use of OCR for text extraction.,- Deployment of models in the form of a Backend API.,,,,
235,Data Engineer,Machine LearningData AnalysisComputer VisionBig DataData ModelingMathematics,['unknown'],unknown,,,,,,,,,
236,Software Engineer,Machine LearningData SciencePythonSoftware DevelopmentStatisticsData Analysis,['unknown'],unknown,,,,,,,,,
237,Data Engineer,SQLSQL NoPythonBig dataArtificial intelligenceAutomatic learning,['unknown'],unknown,,,,,,,,,
238,External Big Data Developer,SQLPythonC++JavaRMicrosoft SQL Server,['unknown'],unknown,,,,,,,,,
239,Data Engineer,TableDecision-making informaticsMachine LearningBig DataScrumInformation technology,['unknown'],unknown,,,,,,,,,
240,Data Analytics,"Machine LearningStatisticsTeamworkEvent PlanningCorporate FinanceExtract, Transform, Load (ETL)",['unknown'],unknown,,,,,,,,,
241,Computer Science Freelancer,AWS LambdaAmazon SageMakerAWS APILabel StudioAWS EC2Engineering,"['Developed web applications, machine learning models and analytical dashboards.']","Developed web applications, machine learning models and analytical dashboards.",,,,,,,,,
242,Software Programr,CRISP-DMMQTT BrokerAngularJSHTMLCSSTypeScript,['unknown'],unknown,,,,,,,,,
243,Junior data engineer,ProgrammingPython (programming language)MATLABjavamachine learningDeep learning,"['• Analysis of customer needs manually Airbus and ATR', '• Involved in daily SCRUM meetings to keep track of the projects status', '• Processing and analysis of data in different formats with Machine learning algorithms and Python  ', '• Creation of dashboards with PowerBI.']",• Analysis of customer needs manually Airbus and ATR,• Involved in daily SCRUM meetings to keep track of the projects status,• Processing and analysis of data in different formats with Machine learning algorithms and Python  ,• Creation of dashboards with PowerBI.,,,,,,
244,Junior Data Analyst,Data AnalysisBusiness Intelligence (BI)Data MiningBig DataMachine LearningDeep Learning,"[""Thesis's Title: Development of a Machine Learning Model to detect anomalies "", 'in a radio network.', 'Technology Used: R, Python, and Power BI.']",Thesis's Title: Development of a Machine Learning Model to detect anomalies ,in a radio network.,"Technology Used: R, Python, and Power BI.",,,,,,,
245,Research and Development International,Beautiful SoupBERTMicrosoft Power BIFlaskPython (Programming Language)SQL,"['The project details designing and developing an automated solution for finding the best candidates for a specific job position.', 'Tasks:', '— Research for different job recommendation systems and job profile matching approaches', '— Use and implementation of enterprise architectures in modern', 'Web applications, such as the 4-tier application (data layer:', 'SQLite, data access layer: SQLAlchemy, service layer: Flask, presentation layer:', 'Angular & PowerBi)', '— Implementation of a LinkedIn profile scraping service', '— Implementation of an algorithm for matching and filtering of job profiles', '— Design and documentation of API interfaces', '—- Frontend implementation with modern web frameworks (Angular)', '— Integration of PowerBi to visualize statistical data', '— Report preparation, data collection and analysis of the job recommendation systems used']",The project details designing and developing an automated solution for finding the best candidates for a specific job position.,Tasks:,— Research for different job recommendation systems and job profile matching approaches,— Use and implementation of enterprise architectures in modern,"Web applications, such as the 4-tier application (data layer:","SQLite, data access layer: SQLAlchemy, service layer: Flask, presentation layer:",Angular & PowerBi),— Implementation of a LinkedIn profile scraping service,— Implementation of an algorithm for matching and filtering of job profiles,— Design and documentation of API interfaces
246, Data scientist internal - Reserach project,Python (programming language)RStudioMicrosoft Power BITalend Open StudioOracle SQL DeveloperMicrosoft Project,"['The main objective of my end-of-studies internship was to develop an intelligent solution to evaluate the conformity of sub-contractors.', '', '- First, we worked on extracing specific key information from each document using a variety of deep learning algorithms.', '- Second, we sorted to automate the classification process of each document.']",The main objective of my end-of-studies internship was to develop an intelligent solution to evaluate the conformity of sub-contractors.,,"- First, we worked on extracing specific key information from each document using a variety of deep learning algorithms.","- Second, we sorted to automate the classification process of each document.",,,,,,
247,Engineer QA,Data analyticsHadoopApache SparkJavaEngineeringEnglish,"['I worked with the Quality & Test team of the French company HEXAGONE SAS, to ensure the global', 'quality of the manufactured product (CAM), to test the manufacturing processes, to develop quality', 'tests and to define the criteria to which a test result must answer in collaboration with the developers', 'and the project managers']","I worked with the Quality & Test team of the French company HEXAGONE SAS, to ensure the global","quality of the manufactured product (CAM), to test the manufacturing processes, to develop quality",tests and to define the criteria to which a test result must answer in collaboration with the developers,and the project managers,,,,,,
248,Junior data scientist,Machine LearningPython (Programming Language)Data ScienceProject ManagementObject-Oriented Programming (OOP)Web Development,['unknown'],unknown,,,,,,,,,
249,Python Engineer,Machine LearningProject ManagementTelecommunications EngineeringTelecommunicationsBig dataDeep learning,['unknown'],unknown,,,,,,,,,
250,Data Scientist,Machine LearningDeep LearningNatural Language Processing (NLP)Business Intelligence (BI)Microsoft Power BIRecurrent Neural Networks (RNN),['Build an application to readily extract information from balance sheets using optical character recognition (OCR) leading to lowering agents的 work time by ~10 minutes per sheet.'],Build an application to readily extract information from balance sheets using optical character recognition (OCR) leading to lowering agents的 work time by ~10 minutes per sheet.,,,,,,,,,
251,Data Engineer Trainee,OpenCVDjango REST FrameworkFaceNetYOLOCNNNLP,"['• Creating a real time insights visualization dashboards for a pharmaceutic company to monitor the critical parameters of her machines, general intelligent, anomaly scores and alarms to anticipate problems and reduce human supervision.', '• Deploying the solution in different Azure VMs using Ansible.']","• Creating a real time insights visualization dashboards for a pharmaceutic company to monitor the critical parameters of her machines, general intelligent, anomaly scores and alarms to anticipate problems and reduce human supervision.",• Deploying the solution in different Azure VMs using Ansible.,,,,,,,,
252,Senior Consultant,Problem SolvingConflict ManagementCommunicationTensorFlowAnalytical SkillsData Science,['Skills: Problem Solving · Communication · Analytic Skills'],Skills: Problem Solving · Communication · Analytic Skills,,,,,,,,,
253,Machine Learning Operations intern ,MLOpsAmazon Web Services (AWS)Statistical Data AnalysisData ScienceData ManagementData preprocessing,['Skills: MLOps · Amazon Web Services (AWS) · Python (Programming Language) · Machine Learning'],Skills: MLOps · Amazon Web Services (AWS) · Python (Programming Language) · Machine Learning,,,,,,,,,
254,PhD student,Machine LearningDeep LearningPythonData MiningBusiness IntelligenceStatistics,['unknown'],unknown,,,,,,,,,
255,Lead Data Scientist,Computer ScienceData ScienceEnglishMachine LearningDeep LearningTensorFlow,['unknown'],unknown,,,,,,,,,
256,Full stack data engineer,RpandasclouderaSQLMySQLkeras,['unknown'],unknown,,,,,,,,,
257,Data Scientist,PythonMachine LearningAmazon Web Services (AWS)Natural Language Processing (NLP)Statistical Data AnalysisData Analysis,['Skills: Python · Machine Learning · Amazon Web Services (AWS) · Natural Language Processing (NLP) · Apache Spark'],Skills: Python · Machine Learning · Amazon Web Services (AWS) · Natural Language Processing (NLP) · Apache Spark,,,,,,,,,
258,Data Scientist,Python (Programming Language)Organization SkillsTeam LeadershipMicrosoft OfficeDataiku DSSTeamwork,"['- Exploring methods to handle imbalanced data', '- Tuning hyperparameters of XGBoost Classify using hyperopt', '- Exploring Imputation techniques ', '- Refactoring code: using Pydantic library instead of dataclass... ', '- Creating workflow using docker and apache-airflow']",- Exploring methods to handle imbalanced data,- Tuning hyperparameters of XGBoost Classify using hyperopt,- Exploring Imputation techniques ,- Refactoring code: using Pydantic library instead of dataclass... ,- Creating workflow using docker and apache-airflow,,,,,
259,Software Developer,ResearchJavaScriptSoftware DevelopmentFront-End DevelopmentFull-Stack DevelopmentMultilingual,['unknown'],unknown,,,,,,,,,
260,Retail Consultant/ Data Engineer,Microsoft OfficeMicrosoft Power BIMicrosoft PowerPointSQLPythonTeamwork,['unknown'],unknown,,,,,,,,,
261,Developer/Developer of operating solutions/ Data Scientist,PythonJavaAngularC++SQLOracle Database,['unknown'],unknown,,,,,,,,,
262,Consultant MS Dynamics NAV/BC,IBM WatsonHadoopSQL NoApache StormApache SparkMicrosoft BI Suite,['unknown'],unknown,,,,,,,,,
263,Data Analyst,Analytical SkillsMathematicsPython (Programming Language)Data AnalysisOracle DatabaseJava,['unknown'],unknown,,,,,,,,,
264,Data consultant,Machine LearningBig DataData miningPythonDeep learningTime series,['unknown'],unknown,,,,,,,,,
265,Data Scientist,Machine LearningSQLArtificial Intelligence (AI)JavaData AnalysisFinancial Analysis,['unknown'],unknown,,,,,,,,,
266,Machine Learning Engineer,PythonMachine LearningNatural Language Processing (NLP)SAS programmingProject managementC++,['unknown'],unknown,,,,,,,,,
267,Blogger,Pythonmachine learningRMachine LearningJavaC++,"['A blog about AI, Machine Learning, and practical topics.', 'https://jouini-ghada1.medium.com/']","A blog about AI, Machine Learning, and practical topics.",https://jouini-ghada1.medium.com/,,,,,,,,
268,SAP BI Support Engineer,JavaMySQLMachine LearningDeep LearningSymfonyPython (Programming Language),['Skills: SAP BI'],Skills: SAP BI,,,,,,,,,
269,SAP Retail functional consultant ,SAP S/4HANAMachine learningBusiness Intelligence (BI)Big DataArtificial IntelligenceDeep Learning,['unknown'],unknown,,,,,,,,,
270,Cost Engineer and Consulting,Microsoft ExcelPython (programming language)Automatic learningStudy of time seriesRNNPandas (software),"['Develop a unique benchmarking solution that helps customers find the best compromise between technology and cost priorities, supporting projects through the product life cycle, from concept development to optimization serial costs.']","Develop a unique benchmarking solution that helps customers find the best compromise between technology and cost priorities, supporting projects through the product life cycle, from concept development to optimization serial costs.",,,,,,,,,
271,Data Engineer,Machine LearningDeep LearningArtificial IntelligenceData AnalysisBusiness Intelligence (BI)Computer Vision,['Data Engineer part of the food catalog team'],Data Engineer part of the food catalog team,,,,,,,,,
272,BIG DATA & KUBERNETES TECHNICAL SOLUTION ARCHITECT,Big dataHadoopApache SparkJavaMachine LearningCloud,"['•Directly engage with customers to design and implement solutions including designing architectures and implementing solutions ', '•Design solution and technical design documentation ', '•Provides feedback to the Product management team', '•Help customers migrate and/or build workloads towards production in the Ezmeral container Platform', '•Install & configure Ezmeral Container platform ', '•Install & configure Ezmeral Data fabric ', '•Estimate load and build customer needs ', '•Organize Calls, meetings and workshops ', '•Guide customers - technical architecture and investments', '•AI/BIG Data uses cases implementation (including GPU) on Kubernetes environment ', '•Work with Sales team to identify the right solution for customer need and response to customer request for proposal ', '', '•Technologies: Kubernetes, Docker, HPE EZMERAL container platform, HPE Ezmeral data fabric(ex MAPR), Spar on Kubernetes (spark Operator), ML-OPS, Hive, Drill, AWS, HPE Ezmeral Data Fabric Database, HPE Ezmeral Data Fabric Event Data Streams, Kubeflow, ArgoCD, GIT, TensorFlow, Seldon IO, MinIO, Grafana, Prometheus, Kibana']",•Directly engage with customers to design and implement solutions including designing architectures and implementing solutions ,•Design solution and technical design documentation ,•Provides feedback to the Product management team,•Help customers migrate and/or build workloads towards production in the Ezmeral container Platform,•Install & configure Ezmeral Container platform ,•Install & configure Ezmeral Data fabric ,•Estimate load and build customer needs ,"•Organize Calls, meetings and workshops ",•Guide customers - technical architecture and investments,•AI/BIG Data uses cases implementation (including GPU) on Kubernetes environment 
273,Data Engineer,Data CleaningData VisualizationBusiness IntelligenceBig DataData Sciencepython,['unknown'],unknown,,,,,,,,,
274,Atlassian consultant,Agile Project ManagementJiraConfluencePython (Programming Language)Agile MethodologiesCommunication,['Skills: Agile Project Management · Jira · Confluence · Agile Methodologies'],Skills: Agile Project Management · Jira · Confluence · Agile Methodologies,,,,,,,,,
275,Software Engineer,ScrumDatabasesJiraLinuxData ScienceDeep Learning,"['• Analyze and elaborate requirements specifications for customers ‘requests.', '• Design and implementation of new functions.', '• Perform unit tests.', '• Support and functional support.', 'Keywords: Python, JAVA, PL/SQL, SCRUM, Shell Scripting, JIRA,UBIX']",• Analyze and elaborate requirements specifications for customers ‘requests.,• Design and implementation of new functions.,• Perform unit tests.,• Support and functional support.,"Keywords: Python, JAVA, PL/SQL, SCRUM, Shell Scripting, JIRA,UBIX",,,,,
276,Data Engineering Internal,SQLJavaJavaScriptPythonCC++,"['Analyzed and integrated complex data sources. (e.g. OpenData', 'portals, UNODC)', 'Build reliable data pipelines to move data from the web to our', 'infrastructure and Deploy it.', 'Cleaned and transformed datasets to be used directly for data', 'Driven projects.', 'KEYWORDS: Python, Pandas, SQL, BeautifulSoup, Docker and', 'Kubernetes.']",Analyzed and integrated complex data sources. (e.g. OpenData,"portals, UNODC)",Build reliable data pipelines to move data from the web to our,infrastructure and Deploy it.,Cleaned and transformed datasets to be used directly for data,Driven projects.,"KEYWORDS: Python, Pandas, SQL, BeautifulSoup, Docker and",Kubernetes.,,
277,Data Architect,Business IntelligenceMicrosoft Power BIData AnalysisConsultingBusiness AnalysisProject Management,"['# Context', 'Continuous optimization of the Data Global model for the Healthcare Data Warehouse.', 'Analysis, Conception and integration of the data sources into a new model.', '', '# Activities', '* Analysis of the existing Data models, Data Sources, and Data flow. ', '* Understanding of the different business processes and the business requirements for each entity and the interaction between different entities and different applications on the Data layer and the reporting layer', '* Detecting the issue within the existance models and offer alternatives to improve the performance and the data quality within the new models. ', '* Planning and estimates for the Data Team within the different project phases. ', '* Modeling (Entity Relationship Models, Conceptual Data Models, Logical Data Models)', '* Mapping and Documentation of Data Warehouse Componenets ', '* Work with the Data Architecture Team to look in different strategies for future business needs.', '', '# Environment', 'Data Modeling (Erwin, Kimball), Data Marts, Functional Architecture, MS Azure, SQL Server, SAS']",# Context,Continuous optimization of the Data Global model for the Healthcare Data Warehouse.,"Analysis, Conception and integration of the data sources into a new model.",,# Activities,"* Analysis of the existing Data models, Data Sources, and Data flow. ",* Understanding of the different business processes and the business requirements for each entity and the interaction between different entities and different applications on the Data layer and the reporting layer,* Detecting the issue within the existance models and offer alternatives to improve the performance and the data quality within the new models. ,* Planning and estimates for the Data Team within the different project phases. ,"* Modeling (Entity Relationship Models, Conceptual Data Models, Logical Data Models)"
278, LoRa/LoRaWAN Engineer,StatisticsWireless engineeringData visualizationStatistical modellingData partitioningData engineering,"['- Configuration of LoRa® device', '- Provisioning and analysis of device operation on Live Objects.', '- Data collection via portal mode, via API mode and data routing on a server via http Push and MQTT protocols.']",- Configuration of LoRa® device,- Provisioning and analysis of device operation on Live Objects.,"- Data collection via portal mode, via API mode and data routing on a server via http Push and MQTT protocols.",,,,,,,
279,Pega Consultant,PegaBig DataMachine learningDecision-making informaticsScrumProject management,"['Customer: Zatca, ', 'Role: PEGA SSA,', 'Duration: 6 months,', 'Rental: KSA,', 'Environment: Pega V8.3', 'Description:', ""The main objective of the mission: development, optimization and support work according to the customer's specifications."", 'Responsibilities and contributions:', '● Identity and model processes life cycles using flows and flows actions.', ""● Apply Pega's principals and implementation Backend rules: Activities, Data transformations, When rules..."", '● Create Data and work classes.', '● Design portals and implementation their matching user interfaces.', '● Optimize and develop Sections using different types of layouts.', '', 'Key Words: flow, flow actions, Activities, Data transforms, When rules, Data and work classes, portals, Sections, Layouts']","Customer: Zatca, ","Role: PEGA SSA,","Duration: 6 months,","Rental: KSA,",Environment: Pega V8.3,Description:,"The main objective of the mission: development, optimization and support work according to the customer's specifications.",Responsibilities and contributions:,● Identity and model processes life cycles using flows and flows actions.,"● Apply Pega's principals and implementation Backend rules: Activities, Data transformations, When rules..."
280,Technical Analyst,React.jsExpress.jsGoogle Maps APIRedux.jsNode.jsChrome Developer Tools,"['Project: design and implantion of fullstack application for real estate renting using google maps service with controllable radius centered at the user', 'Team: 3 people.', 'Tasks:', '▪ Identifying technical requirements and conceptual design to create day-to-day Tasks.', '▪ Scrum-master and team framework.', '▪ Code review and code rest management.', '▪ FrontEnd and BackEnd development:', 'o Javascrip modules, templates, routers and components.', 'o Models, routers and middlewares.', 'o Data migration.', '▪ Functional test and Unit receipt.', '▪ Writing documentation.', 'Environment:', '• Techno & Languages: JS ES6, HTML, CSS.', '• Supporting Libraries: Bootstrap, Google Maps API, ExpressJS, Redux', '• Servers & Source Code Management: nodeJS, Git, NPM', '• IDE & Tools: VSCode, Chrome dev, Postman, Redux DevTools', '• DB: MongoDB']",Project: design and implantion of fullstack application for real estate renting using google maps service with controllable radius centered at the user,Team: 3 people.,Tasks:,▪ Identifying technical requirements and conceptual design to create day-to-day Tasks.,▪ Scrum-master and team framework.,▪ Code review and code rest management.,▪ FrontEnd and BackEnd development:,"o Javascrip modules, templates, routers and components.","o Models, routers and middlewares.",o Data migration.
281,AI Analyst,Data Sciencemachine learningDeep learningComputer VisionData MiningBig Data,['unknown'],unknown,,,,,,,,,
282,Data Scientist,Python (Programming Language)TableMachine LearningmarketingProject ManagementBrand Management,['unknown'],unknown,,,,,,,,,
283,Integration Engineer,Big DataBusiness intelligenceData MiningPython (Programming Language)Data AnalysisData Warehousing,['unknown'],unknown,,,,,,,,,
284,Full Stack Developer,Full-Stack DevelopmentData ScienceSQLMachine learningData AnalysisBusiness Intelligence,['unknown'],unknown,,,,,,,,,
285,Senior Data Scientist,Data ScienceMachine LearningDeep LearningStatisticsArtificial Intelligence (AI)Navy,['unknown'],unknown,,,,,,,,,
286,Data consultant,Data miningBICorporate financejavatime seriesSymfony,['unknown'],unknown,,,,,,,,,
287,Technical Consultant,MySQLJavapythonCC++C#,"['Developed specific ERP solutions and modules in progress QAD', 'Developed back-end services', 'Database administration and data migration', 'Developed Business intelligence solutions in SQL/ Power BI']",Developed specific ERP solutions and modules in progress QAD,Developed back-end services,Database administration and data migration,Developed Business intelligence solutions in SQL/ Power BI,,,,,,
288,Data Scientist,Business IntelligenceData MiningRBig dataDecision-making informaticsETL,['Mobile Networks - Supply Chain Digitalization & Architecture'],Mobile Networks - Supply Chain Digitalization & Architecture,,,,,,,,,
289,Businnes intelligence consultant ,AnalyticalData analysisPythonDecision-making informaticsFinanceR,"['Project: Mobile application E-Polycor for POLYCOR.INC (QUEBEC).', '', 'Tasks:', '-Development of a complete decision-making chain according to the Top-down process (Staging > ODS > DWH > DTM).', '- Development of SSIS flows.', '-Restitution of data via reports developed with PowerBI.', '-Recipe of developments and conduct of change with users.', '-Documentation.', ' -Project management using Azure Devops (VTS)', ' Technical Environment: SSIS, SSMS, POWER BI, DAX, T-SQL']",Project: Mobile application E-Polycor for POLYCOR.INC (QUEBEC).,,Tasks:,-Development of a complete decision-making chain according to the Top-down process (Staging > ODS > DWH > DTM).,- Development of SSIS flows.,-Restitution of data via reports developed with PowerBI.,-Recipe of developments and conduct of change with users.,-Documentation., -Project management using Azure Devops (VTS)," Technical Environment: SSIS, SSMS, POWER BI, DAX, T-SQL"
290,Senior Full Stack Web Developer,JavaMySQLJavaScriptAngularjsNodeJSPHP,['unknown'],unknown,,,,,,,,,
291,Python Backend Developer,MongoDBSQLAlchemyUnit TestingFlaskMySQLR (Programming Language),"['Prediko is an inventory optimization platform for ecommerce brands. We的re helping companies forecast their inventory needs to eliminate stock outs and excess inventory. We are backed up by Techstars and founders of Klarna, Checkout, and Nuxe.']","Prediko is an inventory optimization platform for ecommerce brands. We的re helping companies forecast their inventory needs to eliminate stock outs and excess inventory. We are backed up by Techstars and founders of Klarna, Checkout, and Nuxe.",,,,,,,,,
292,Data Scientist,Software Engineering PracticesComputer ScienceAutomated Software TestingSoftware TestingLearnable Evolutionary AlgorithmsSimulations,['unknown'],unknown,,,,,,,,,
293,Data Scientist,ModelingNatural Language Processing (NLP)Microsoft ExcelObjection HandlingSalesMaterials Science,['Skills: Modeling · Natural Language Processing (NLP) · Machine Learning · Python (Programming Language)'],Skills: Modeling · Natural Language Processing (NLP) · Machine Learning · Python (Programming Language),,,,,,,,,
294, Data Scientist,Artificial intelligenceData scienceCloud ComputingDeep learningmachine learningunknown,"['• Automatic every step of machine learning to increase and improve Artificial intelligence solutions.', ""• I suggested using a Stable Diffusion model for image generation to sell it in the company's NFTs collection, which enhanced collection quantity and quality.""]",• Automatic every step of machine learning to increase and improve Artificial intelligence solutions.,"• I suggested using a Stable Diffusion model for image generation to sell it in the company's NFTs collection, which enhanced collection quantity and quality.",,,,,,,,
295,Web Manager,deepstreamNatural Language Toolkit (NLTK)KerasTensorFlowDecision-making informaticsDeep learning,['Skills: Web development'],Skills: Web development,,,,,,,,,
296,Insurance Underwriter ( P&C Insurance ),Decision-MakingDetails orientatedUnderwritingInsuranceProperty and Casualty InsuranceLogical Reasoning,['Skills: Decision-Making · Detail oriented · Analytic Skills'],Skills: Decision-Making · Detail oriented · Analytic Skills,,,,,,,,,
297,Data Scientist,Machine LearningPython (Programming Language)Data AnalysisiOS DevelopmentProject ManagementAndroid Development,['unknown'],unknown,,,,,,,,,
298,Digital Quality Engineer NLP ML,PythonNatural Language ProcessingMachine LearningBusiness IntelligenceData MiningData Modeling,"['Context: The vision of the Q&C organization requires raising emerging technologies in order to drive improved customer outcomes.', 'Activities:', '- Drive the Q&C organization to build, execute and scale NLP projects in line with E2E digital strategy. ', '- Managing a portfolio of NLP & AI projects delivering business value, including scaling projects into operations (MLOPS).', '- Educate the Q&C organization on the possibilities of NLP.']",Context: The vision of the Q&C organization requires raising emerging technologies in order to drive improved customer outcomes.,Activities:,"- Drive the Q&C organization to build, execute and scale NLP projects in line with E2E digital strategy. ","- Managing a portfolio of NLP & AI projects delivering business value, including scaling projects into operations (MLOPS).",- Educate the Q&C organization on the possibilities of NLP.,,,,,
299,Full Stack Consultant,JavaPythonBig DataAgile methodsSoftware developmentData analysis,['unknown'],unknown,,,,,,,,,
300,Data Scientist,TeamworkIT skillsAnalysisMathematicsStatisticsAnalytical Skills,['unknown'],unknown,,,,,,,,,
301,Machine Learning Specialist,ClusteringSupervised LearningClassificationPredictive ModelingMySQLPostgreSQL,['Skills: Natural Language Processing (NLP) · Python web · Data Science · Machine Learning · Deep Learning · Recommender Systems'],Skills: Natural Language Processing (NLP) · Python web · Data Science · Machine Learning · Deep Learning · Recommender Systems,,,,,,,,,
302,Senior Data Scientist,Python (Programmiersprache)Data ScienceProjektmanagementMotor industryBig DataProzessmanagement,"['- Analyzing of real car data', '- Creating machine learning models for prevention of the vehicle state']",- Analyzing of real car data,- Creating machine learning models for prevention of the vehicle state,,,,,,,,
303,Python Engineer,Data ScienceMathematicsIT developerProject managementStrategic planningComputer Science,['unknown'],unknown,,,,,,,,,
304,Senior Data Scientist,PhysicsScienceLaTeXAstrophysicsPythonResearch,['unknown'],unknown,,,,,,,,,
305,Data Scientist,Optimal controlCommon differential equitiesJuliaResearchStudy of time seriesPython (programming language),['unknown'],unknown,,,,,,,,,
306,Data Scientist,Google AnalyticsManagementMachine LearningSoftware DevelopmentDeep LearningObject-Oriented Programming (OOP),['unknown'],unknown,,,,,,,,,
307,Engineer - Researcher,MatlabCC++ProgrammingSimulationsMicrocontrollers,"['Engineer - Researcher, Speciality : Applied Mathematics/ Computer Science/Control Theory.']","Engineer - Researcher, Speciality : Applied Mathematics/ Computer Science/Control Theory.",,,,,,,,,
308, Power Platform Developer,Decision-making informaticsPythonCBig DataTalendData Warehouse,['unknown'],unknown,,,,,,,,,
309,Associate Python Developer,JenkinsAmazon Web Services (AWS)Python (Programming Language)JavaScriptC (Programming Language)Linux System Administration,"['Working for the fastest growing top tier consulting, IT services & BPS company.', ""Working as a consultant to the company's clients""]","Working for the fastest growing top tier consulting, IT services & BPS company.",Working as a consultant to the company's clients,,,,,,,,
310,Head of Recommendations,sqlPythonAnaliza danych biznesowychMarketing ResearchMarketingMarketing Communications,['unknown'],unknown,,,,,,,,,
311,Deployment Strategist,PythonSQLMachine LearningStatistical Data AnalysisCurrent ScienceMergers & Acquisitions,['unknown'],unknown,,,,,,,,,
312,Business Intelligence Developer,SQL Server Integration Services (SSIS)SQL Server Management StudioSQLSpring BootAngularData analysis,['unknown'],unknown,,,,,,,,,
313,Internal Business Intelligence ,RedmineMicrosoft Power BITalend Open StudioRBig dataDeep learning,"['Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:', '> Dashboard with plots, charts, filters about the project, tickets and their managers.', '> Follow-up of the status of a task(Ticket) and its deadlines.', '> Team performance monitoring and the advancement of the sprint.', '> Advancement of the sprint.', '> Generation of business production plans.', '> Identification of project monitoring indicators (PPIs).']",Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:,"> Dashboard with plots, charts, filters about the project, tickets and their managers.",> Follow-up of the status of a task(Ticket) and its deadlines.,> Team performance monitoring and the advancement of the sprint.,> Advancement of the sprint.,> Generation of business production plans.,> Identification of project monitoring indicators (PPIs).,,,
314,Business Intelligence Trainee,"Extract, Transform, Load (ETL)LeadershipEngineeringProject managementRStudio.NET Core","['Skills: Extract, Transform, Load (ETL) · Microsoft Power BI']","Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",,,,,,,,,
315,Internship in engineering,Machine learning algorithmsPostgreSQLPython (programming language)Project managementJava.NET framework,['unknown'],unknown,,,,,,,,,
316,Development of a partner portal,E-commerceDigital marketingDecision-making informaticsTeamworkProject managementCustomer Relationship Management (CRM),"['CRM', 'Dynamic 365', 'Power BI']",CRM,Dynamic 365,Power BI,,,,,,,
317,unknown,unknownunknownunknownunknownunknownunknown,['unknown'],unknown,,,,,,,,,
