,Unnamed: 0,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,word_tokenized1,word_tokenized2,word_tokenized3,word_tokenized4,word_tokenized5,word_tokenized6,word_tokenized7,word_tokenized8,word_tokenized9,word_tokenized10,clean_words1,clean_words2,clean_words3,clean_words4,clean_words5,clean_words6,clean_words7,clean_words8,clean_words9,clean_words10,clean_stemmed1,clean_stemmed2,clean_stemmed3,clean_stemmed4,clean_stemmed5,clean_stemmed6,clean_stemmed7,clean_stemmed8,clean_stemmed9,clean_stemmed10,clean_lemmed1,clean_lemmed2,clean_lemmed3,clean_lemmed4,clean_lemmed5,clean_lemmed6,clean_lemmed7,clean_lemmed8,clean_lemmed9,clean_lemmed10,cluster
223,223,Software Engineer,EnglishEngineeringSoftware DevelopmentWeb DevelopmentData SciencePython (Programming Language),['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],5
224,224,Data engine,"Data ScienceMachine LearningDeep LearningData AnalysisBig DataExtract, Transform, Load (ETL)","['Mission 1: Text generator', '的 Collection of data from various sources using Web Crawling.', '的 Preparation, transformation, modelling and evaluation of the model which allows to generate articles', 'taking as input subjects of variing themes.', '的 Deployment of APIs allowing Fine-tuning and consumption of the model on Google cloud', 'platform (GCP).', '的 Handling of Cloud Scheduler for planning the deployed models.', 'Customer support to adapt more to their needs.', '', 'Mission 2: Plagiarism detector', '的 Analysis of customer needs and feasibility study.', '的 Design and development of algorithms that allows text search while integrating', 'a textual analysis with Natural Language Toolkit (nltk).', '的 Deployment of the backend with Docker on Google cloud platform (GCP).', '', 'Keywords:', 'Deep learning Transfer learning Natural language processing (NLP) Python Flask torch GCP Socket Pandas Numpy Mongodb GPT2 T5 BeautifulSoup selenium nltk Residential Proxies nginx supervisorctl', 'Compute engine Text mining Docker SERP']",Mission 1: Text generator,的 Collection of data from various sources using Web Crawling.,"的 Preparation, transformation, modelling and evaluation of the model which allows to generate articles",taking as input subjects of variing themes.,的 Deployment of APIs allowing Fine-tuning and consumption of the model on Google cloud,platform (GCP).,的 Handling of Cloud Scheduler for planning the deployed models.,Customer support to adapt more to their needs.,unknown,Mission 2: Plagiarism detector,"['Mission', '1', 'Text', 'generator']","['的', 'Collection', 'data', 'various', 'sources', 'using', 'Web', 'Crawling']","['的', 'Preparation', 'transformation', 'modelling', 'evaluation', 'model', 'allows', 'generate', 'articles']","['taking', 'input', 'subjects', 'variing', 'themes']","['的', 'Deployment', 'APIs', 'allowing', 'Fine', 'tuning', 'consumption', 'model', 'Google', 'cloud']","['platform', 'GCP']","['的', 'Handling', 'Cloud', 'Scheduler', 'planning', 'deployed', 'models']","['Customer', 'support', 'adapt', 'needs']",[],"['Mission', '2', 'Plagiarism', 'detector']","['Mission', '1', 'Text', 'generator']","['的', 'Collection', 'data', 'various', 'sources', 'using', 'Web', 'Crawling']","['的', 'Preparation', 'transformation', 'modelling', 'evaluation', 'model', 'allows', 'generate', 'articles']","['taking', 'input', 'subjects', 'variing', 'themes']","['的', 'Deployment', 'APIs', 'allowing', 'Fine', 'tuning', 'consumption', 'model', 'Google', 'cloud']","['platform', 'GCP']","['的', 'Handling', 'Cloud', 'Scheduler', 'planning', 'deployed', 'models']","['Customer', 'support', 'adapt', 'needs']",[],"['Mission', '2', 'Plagiarism', 'detector']","['mission', '1', 'text', 'gener']","['的', 'collect', 'data', 'variou', 'sourc', 'use', 'web', 'crawl']","['的', 'prepar', 'transform', 'model', 'evalu', 'model', 'allow', 'gener', 'articl']","['take', 'input', 'subject', 'vari', 'theme']","['的', 'deploy', 'api', 'allow', 'fine', 'tune', 'consumpt', 'model', 'googl', 'cloud']","['platform', 'gcp']","['的', 'handl', 'cloud', 'schedul', 'plan', 'deploy', 'model']","['custom', 'support', 'adapt', 'need']",[],"['mission', '2', 'plagiar', 'detector']","['Mission', '1', 'Text', 'generator']","['的', 'Collection', 'data', 'various', 'source', 'using', 'Web', 'Crawling']","['的', 'Preparation', 'transformation', 'modelling', 'evaluation', 'model', 'allows', 'generate', 'article']","['taking', 'input', 'subject', 'variing', 'theme']","['的', 'Deployment', 'APIs', 'allowing', 'Fine', 'tuning', 'consumption', 'model', 'Google', 'cloud']","['platform', 'GCP']","['的', 'Handling', 'Cloud', 'Scheduler', 'planning', 'deployed', 'model']","['Customer', 'support', 'adapt', 'need']",[],"['Mission', '2', 'Plagiarism', 'detector']",0
225,225,Internal at Advancia IT System working on Predictive analysis of technical support activity,Emotional IntelligencePersonal DevelopmentLife SkillsResiliencyChange ReadinessEasily Adaptable,['Worked on Predictive analysis of technical support Tickets.'],Worked on Predictive analysis of technical support Tickets.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Worked', 'Predictive', 'analysis', 'technical', 'support', 'Tickets']",[],[],[],[],[],[],[],[],[],"['Worked', 'Predictive', 'analysis', 'technical', 'support', 'Tickets']",[],[],[],[],[],[],[],[],[],"['work', 'predict', 'analysi', 'technic', 'support', 'ticket']",[],[],[],[],[],[],[],[],[],"['Worked', 'Predictive', 'analysis', 'technical', 'support', 'Tickets']",[],[],[],[],[],[],[],[],[],0
226,226,Cyber Security Consultant,Automatic learningCybersecurityRed TeamingPenetration TestingCybersecurityCyber Operations,['Working on cyber security and AI related subjects'],Working on cyber security and AI related subjects,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Working', 'cyber', 'security', 'AI', 'related', 'subjects']",[],[],[],[],[],[],[],[],[],"['Working', 'cyber', 'security', 'AI', 'related', 'subjects']",[],[],[],[],[],[],[],[],[],"['work', 'cyber', 'secur', 'ai', 'relat', 'subject']",[],[],[],[],[],[],[],[],[],"['Working', 'cyber', 'security', 'AI', 'related', 'subject']",[],[],[],[],[],[],[],[],[],0
227,227,Lead Data Scientist - Analytics,Business IntelligenceMySQLEntrepreneurshipPythonMachine LearningSQL,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1
228,228,Client Engineering Data Scientist,Data AnalysisData ScienceMachine LearningDatabase AdministrationWeb DevelopmentBig data,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1
229,229,Data Scientist internally,Data AnalysisSQLFlaskDjangoPython (Programming Language)Deep Learning,"[""Analysis and modelling of a time series data set of household electricity consumption using ARIMA, LSTM, and Facebook Prophet models. The main objective is to drill the next year's consumption to minimize the cost of the bill."", 'Make it possible to extract table layout and content from PDF files and images in an Excel sheet using the Azure Form Recognizer API and the openpyxl library.']","Analysis and modelling of a time series data set of household electricity consumption using ARIMA, LSTM, and Facebook Prophet models. The main objective is to drill the next year's consumption to minimize the cost of the bill.",Make it possible to extract table layout and content from PDF files and images in an Excel sheet using the Azure Form Recognizer API and the openpyxl library.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Analysis', 'modelling', 'time', 'series', 'data', 'set', 'household', 'electricity', 'consumption', 'using', 'ARIMA', 'LSTM', 'Facebook', 'Prophet', 'models', 'The', 'main', 'objective', 'drill', 'next', 'year', 'consumption', 'minimize', 'cost', 'bill']","['Make', 'possible', 'extract', 'table', 'layout', 'content', 'PDF', 'files', 'images', 'Excel', 'sheet', 'using', 'Azure', 'Form', 'Recognizer', 'API', 'openpyxl', 'library']",[],[],[],[],[],[],[],[],"['Analysis', 'modelling', 'time', 'series', 'data', 'set', 'household', 'electricity', 'consumption', 'using', 'ARIMA', 'LSTM', 'Facebook', 'Prophet', 'models', 'The', 'main', 'objective', 'drill', 'next', 'year', 'consumption', 'minimize', 'cost', 'bill']","['Make', 'possible', 'extract', 'table', 'layout', 'content', 'PDF', 'files', 'images', 'Excel', 'sheet', 'using', 'Azure', 'Form', 'Recognizer', 'API', 'openpyxl', 'library']",[],[],[],[],[],[],[],[],"['analysi', 'model', 'time', 'seri', 'data', 'set', 'household', 'electr', 'consumpt', 'use', 'arima', 'lstm', 'facebook', 'prophet', 'model', 'the', 'main', 'object', 'drill', 'next', 'year', 'consumpt', 'minim', 'cost', 'bill']","['make', 'possibl', 'extract', 'tabl', 'layout', 'content', 'pdf', 'file', 'imag', 'excel', 'sheet', 'use', 'azur', 'form', 'recogn', 'api', 'openpyxl', 'librari']",[],[],[],[],[],[],[],[],"['Analysis', 'modelling', 'time', 'series', 'data', 'set', 'household', 'electricity', 'consumption', 'using', 'ARIMA', 'LSTM', 'Facebook', 'Prophet', 'model', 'The', 'main', 'objective', 'drill', 'next', 'year', 'consumption', 'minimize', 'cost', 'bill']","['Make', 'possible', 'extract', 'table', 'layout', 'content', 'PDF', 'file', 'image', 'Excel', 'sheet', 'using', 'Azure', 'Form', 'Recognizer', 'API', 'openpyxl', 'library']",[],[],[],[],[],[],[],[],1
230,230,Software Engineer,Python (Programming Language)FlaskMongoDBArtificial Neural NetworksDomain-Driven Design (DDD)CI/CD,['Skills: Domain-Driven Design (DDD) · CI/CD · Event Sourcing ·.NET 6 · C# · Amazon Web Services (AWS) · Microservices · Kubernetes'],Skills: Domain-Driven Design (DDD) · CI/CD · Event Sourcing ·.NET 6 · C# · Amazon Web Services (AWS) · Microservices · Kubernetes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Skills', 'Domain', 'Driven', 'Design', 'DDD', 'CI', 'CD', 'Event', 'Sourcing', 'NET', '6', 'C', 'Amazon', 'Web', 'Services', 'AWS', 'Microservices', 'Kubernetes']",[],[],[],[],[],[],[],[],[],"['Skills', 'Domain', 'Driven', 'Design', 'DDD', 'CI', 'CD', 'Event', 'Sourcing', 'NET', '6', 'C', 'Amazon', 'Web', 'Services', 'AWS', 'Microservices', 'Kubernetes']",[],[],[],[],[],[],[],[],[],"['skill', 'domain', 'driven', 'design', 'ddd', 'ci', 'cd', 'event', 'sourc', 'net', '6', 'c', 'amazon', 'web', 'servic', 'aw', 'microservic', 'kubernet']",[],[],[],[],[],[],[],[],[],"['Skills', 'Domain', 'Driven', 'Design', 'DDD', 'CI', 'CD', 'Event', 'Sourcing', 'NET', '6', 'C', 'Amazon', 'Web', 'Services', 'AWS', 'Microservices', 'Kubernetes']",[],[],[],[],[],[],[],[],[],5
231,231,Current Data Scientist,C++JavaPythonRisk ManagementAsset and Liabilities Management (ALM)Current Science,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1
232,232,AI & Data Engineer Consultant,Machine LearningPython (Programming Language)Data EngineeringData AnalysisSoftware engineeringWeb Development,"['Client 1', 'Nike European Headquarters (EMEA Enterprise and Data Analytics team). ', '', 'Client 2 ', 'ABN AMRO Dutch Bank (Partnership with Capgemini Innovation Team).']",Client 1,Nike European Headquarters (EMEA Enterprise and Data Analytics team). ,unknown,Client 2 ,ABN AMRO Dutch Bank (Partnership with Capgemini Innovation Team).,unknown,unknown,unknown,unknown,unknown,"['Client', '1']","['Nike', 'European', 'Headquarters', 'EMEA', 'Enterprise', 'Data', 'Analytics', 'team']",[],"['Client', '2']","['ABN', 'AMRO', 'Dutch', 'Bank', 'Partnership', 'Capgemini', 'Innovation', 'Team']",[],[],[],[],[],"['Client', '1']","['Nike', 'European', 'Headquarters', 'EMEA', 'Enterprise', 'Data', 'Analytics', 'team']",[],"['Client', '2']","['ABN', 'AMRO', 'Dutch', 'Bank', 'Partnership', 'Capgemini', 'Innovation', 'Team']",[],[],[],[],[],"['client', '1']","['nike', 'european', 'headquart', 'emea', 'enterpris', 'data', 'analyt', 'team']",[],"['client', '2']","['abn', 'amro', 'dutch', 'bank', 'partnership', 'capgemini', 'innov', 'team']",[],[],[],[],[],"['Client', '1']","['Nike', 'European', 'Headquarters', 'EMEA', 'Enterprise', 'Data', 'Analytics', 'team']",[],"['Client', '2']","['ABN', 'AMRO', 'Dutch', 'Bank', 'Partnership', 'Capgemini', 'Innovation', 'Team']",[],[],[],[],[],1
233,233,Data Scientist,JavaUMLReport WritingJ2EE Application DevelopmentPersuasive Presentation SkillsJava Enterprise Edition,"['- Programming and modeling skills Mathematics', '- Mastery of massively parallel data processing technologies ', '- Design of prediction models (Machine Learning) ', '- Decision support ']",- Programming and modeling skills Mathematics,- Mastery of massively parallel data processing technologies ,- Design of prediction models (Machine Learning) ,- Decision support ,unknown,unknown,unknown,unknown,unknown,unknown,"['Programming', 'modeling', 'skills', 'Mathematics']","['Mastery', 'massively', 'parallel', 'data', 'processing', 'technologies']","['Design', 'prediction', 'models', 'Machine', 'Learning']","['Decision', 'support']",[],[],[],[],[],[],"['Programming', 'modeling', 'skills', 'Mathematics']","['Mastery', 'massively', 'parallel', 'data', 'processing', 'technologies']","['Design', 'prediction', 'models', 'Machine', 'Learning']","['Decision', 'support']",[],[],[],[],[],[],"['program', 'model', 'skill', 'mathemat']","['masteri', 'massiv', 'parallel', 'data', 'process', 'technolog']","['design', 'predict', 'model', 'machin', 'learn']","['decis', 'support']",[],[],[],[],[],[],"['Programming', 'modeling', 'skill', 'Mathematics']","['Mastery', 'massively', 'parallel', 'data', 'processing', 'technology']","['Design', 'prediction', 'model', 'Machine', 'Learning']","['Decision', 'support']",[],[],[],[],[],[],1
234,234,Data Scientist - Data Engineer,JavaRSQL NoPythonMATLABC#,"['Use of object detection models for extracting areas of interest in documents.', '- Annotation of the data.', '- Increased data with GANs.', '- Making an object detection model.', '- Use of OCR for text extraction.', '- Deployment of models in the form of a Backend API.']",Use of object detection models for extracting areas of interest in documents.,- Annotation of the data.,- Increased data with GANs.,- Making an object detection model.,- Use of OCR for text extraction.,- Deployment of models in the form of a Backend API.,unknown,unknown,unknown,unknown,"['Use', 'object', 'detection', 'models', 'extracting', 'areas', 'interest', 'documents']","['Annotation', 'data']","['Increased', 'data', 'GANs']","['Making', 'object', 'detection', 'model']","['Use', 'OCR', 'text', 'extraction']","['Deployment', 'models', 'form', 'Backend', 'API']",[],[],[],[],"['Use', 'object', 'detection', 'models', 'extracting', 'areas', 'interest', 'documents']","['Annotation', 'data']","['Increased', 'data', 'GANs']","['Making', 'object', 'detection', 'model']","['Use', 'OCR', 'text', 'extraction']","['Deployment', 'models', 'form', 'Backend', 'API']",[],[],[],[],"['use', 'object', 'detect', 'model', 'extract', 'area', 'interest', 'document']","['annot', 'data']","['increas', 'data', 'gan']","['make', 'object', 'detect', 'model']","['use', 'ocr', 'text', 'extract']","['deploy', 'model', 'form', 'backend', 'api']",[],[],[],[],"['Use', 'object', 'detection', 'model', 'extracting', 'area', 'interest', 'document']","['Annotation', 'data']","['Increased', 'data', 'GANs']","['Making', 'object', 'detection', 'model']","['Use', 'OCR', 'text', 'extraction']","['Deployment', 'model', 'form', 'Backend', 'API']",[],[],[],[],1
235,235,Data Engineer,Machine LearningData AnalysisComputer VisionBig DataData ModelingMathematics,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1
236,236,Software Engineer,Machine LearningData SciencePythonSoftware DevelopmentStatisticsData Analysis,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],5
237,237,Data Engineer,SQLSQL NoPythonBig dataArtificial intelligenceAutomatic learning,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1
238,238,External Big Data Developer,SQLPythonC++JavaRMicrosoft SQL Server,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0
239,239,Data Engineer,TableDecision-making informaticsMachine LearningBig DataScrumInformation technology,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1
240,240,Data Analytics,"Machine LearningStatisticsTeamworkEvent PlanningCorporate FinanceExtract, Transform, Load (ETL)",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],1
241,241,Computer Science Freelancer,AWS LambdaAmazon SageMakerAWS APILabel StudioAWS EC2Engineering,"['Developed web applications, machine learning models and analytical dashboards.']","Developed web applications, machine learning models and analytical dashboards.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Developed', 'web', 'applications', 'machine', 'learning', 'models', 'analytical', 'dashboards']",[],[],[],[],[],[],[],[],[],"['Developed', 'web', 'applications', 'machine', 'learning', 'models', 'analytical', 'dashboards']",[],[],[],[],[],[],[],[],[],"['develop', 'web', 'applic', 'machin', 'learn', 'model', 'analyt', 'dashboard']",[],[],[],[],[],[],[],[],[],"['Developed', 'web', 'application', 'machine', 'learning', 'model', 'analytical', 'dashboard']",[],[],[],[],[],[],[],[],[],0
242,242,Software Programr,CRISP-DMMQTT BrokerAngularJSHTMLCSSTypeScript,['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0
243,243,Junior data engineer,ProgrammingPython (programming language)MATLABjavamachine learningDeep learning,"['• Analysis of customer needs manually Airbus and ATR', '• Involved in daily SCRUM meetings to keep track of the projects status', '• Processing and analysis of data in different formats with Machine learning algorithms and Python  ', '• Creation of dashboards with PowerBI.']",• Analysis of customer needs manually Airbus and ATR,• Involved in daily SCRUM meetings to keep track of the projects status,• Processing and analysis of data in different formats with Machine learning algorithms and Python  ,• Creation of dashboards with PowerBI.,unknown,unknown,unknown,unknown,unknown,unknown,"['Analysis', 'customer', 'needs', 'manually', 'Airbus', 'ATR']","['Involved', 'daily', 'SCRUM', 'meetings', 'keep', 'track', 'projects', 'status']","['Processing', 'analysis', 'data', 'different', 'formats', 'Machine', 'learning', 'algorithms', 'Python']","['Creation', 'dashboards', 'PowerBI']",[],[],[],[],[],[],"['Analysis', 'customer', 'needs', 'manually', 'Airbus', 'ATR']","['Involved', 'daily', 'SCRUM', 'meetings', 'keep', 'track', 'projects', 'status']","['Processing', 'analysis', 'data', 'different', 'formats', 'Machine', 'learning', 'algorithms', 'Python']","['Creation', 'dashboards', 'PowerBI']",[],[],[],[],[],[],"['analysi', 'custom', 'need', 'manual', 'airbu', 'atr']","['involv', 'daili', 'scrum', 'meet', 'keep', 'track', 'project', 'statu']","['process', 'analysi', 'data', 'differ', 'format', 'machin', 'learn', 'algorithm', 'python']","['creation', 'dashboard', 'powerbi']",[],[],[],[],[],[],"['Analysis', 'customer', 'need', 'manually', 'Airbus', 'ATR']","['Involved', 'daily', 'SCRUM', 'meeting', 'keep', 'track', 'project', 'status']","['Processing', 'analysis', 'data', 'different', 'format', 'Machine', 'learning', 'algorithm', 'Python']","['Creation', 'dashboard', 'PowerBI']",[],[],[],[],[],[],1
244,244,Junior Data Analyst,Data AnalysisBusiness Intelligence (BI)Data MiningBig DataMachine LearningDeep Learning,"[""Thesis's Title: Development of a Machine Learning Model to detect anomalies "", 'in a radio network.', 'Technology Used: R, Python, and Power BI.']",Thesis's Title: Development of a Machine Learning Model to detect anomalies ,in a radio network.,"Technology Used: R, Python, and Power BI.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Thesis', 'Title', 'Development', 'Machine', 'Learning', 'Model', 'detect', 'anomalies']","['radio', 'network']","['Technology', 'Used', 'R', 'Python', 'Power', 'BI']",[],[],[],[],[],[],[],"['Thesis', 'Title', 'Development', 'Machine', 'Learning', 'Model', 'detect', 'anomalies']","['radio', 'network']","['Technology', 'Used', 'R', 'Python', 'Power', 'BI']",[],[],[],[],[],[],[],"['thesi', 'titl', 'develop', 'machin', 'learn', 'model', 'detect', 'anomali']","['radio', 'network']","['technolog', 'use', 'r', 'python', 'power', 'bi']",[],[],[],[],[],[],[],"['Thesis', 'Title', 'Development', 'Machine', 'Learning', 'Model', 'detect', 'anomaly']","['radio', 'network']","['Technology', 'Used', 'R', 'Python', 'Power', 'BI']",[],[],[],[],[],[],[],1
245,245,Research and Development International,Beautiful SoupBERTMicrosoft Power BIFlaskPython (Programming Language)SQL,"['The project details designing and developing an automated solution for finding the best candidates for a specific job position.', 'Tasks:', '— Research for different job recommendation systems and job profile matching approaches', '— Use and implementation of enterprise architectures in modern', 'Web applications, such as the 4-tier application (data layer:', 'SQLite, data access layer: SQLAlchemy, service layer: Flask, presentation layer:', 'Angular & PowerBi)', '— Implementation of a LinkedIn profile scraping service', '— Implementation of an algorithm for matching and filtering of job profiles', '— Design and documentation of API interfaces', '—- Frontend implementation with modern web frameworks (Angular)', '— Integration of PowerBi to visualize statistical data', '— Report preparation, data collection and analysis of the job recommendation systems used']",The project details designing and developing an automated solution for finding the best candidates for a specific job position.,Tasks:,— Research for different job recommendation systems and job profile matching approaches,— Use and implementation of enterprise architectures in modern,"Web applications, such as the 4-tier application (data layer:","SQLite, data access layer: SQLAlchemy, service layer: Flask, presentation layer:",Angular & PowerBi),— Implementation of a LinkedIn profile scraping service,— Implementation of an algorithm for matching and filtering of job profiles,— Design and documentation of API interfaces,"['The', 'project', 'details', 'designing', 'developing', 'automated', 'solution', 'finding', 'best', 'candidates', 'specific', 'job', 'position']",['Tasks'],"['Research', 'different', 'job', 'recommendation', 'systems', 'job', 'profile', 'matching', 'approaches']","['Use', 'implementation', 'enterprise', 'architectures', 'modern']","['Web', 'applications', '4', 'tier', 'application', 'data', 'layer']","['SQLite', 'data', 'access', 'layer', 'SQLAlchemy', 'service', 'layer', 'Flask', 'presentation', 'layer']","['Angular', 'PowerBi']","['Implementation', 'LinkedIn', 'profile', 'scraping', 'service']","['Implementation', 'algorithm', 'matching', 'filtering', 'job', 'profiles']","['Design', 'documentation', 'API', 'interfaces']","['The', 'project', 'details', 'designing', 'developing', 'automated', 'solution', 'finding', 'best', 'candidates', 'specific', 'job', 'position']",['Tasks'],"['Research', 'different', 'job', 'recommendation', 'systems', 'job', 'profile', 'matching', 'approaches']","['Use', 'implementation', 'enterprise', 'architectures', 'modern']","['Web', 'applications', '4', 'tier', 'application', 'data', 'layer']","['SQLite', 'data', 'access', 'layer', 'SQLAlchemy', 'service', 'layer', 'Flask', 'presentation', 'layer']","['Angular', 'PowerBi']","['Implementation', 'LinkedIn', 'profile', 'scraping', 'service']","['Implementation', 'algorithm', 'matching', 'filtering', 'job', 'profiles']","['Design', 'documentation', 'API', 'interfaces']","['the', 'project', 'detail', 'design', 'develop', 'autom', 'solut', 'find', 'best', 'candid', 'specif', 'job', 'posit']",['task'],"['research', 'differ', 'job', 'recommend', 'system', 'job', 'profil', 'match', 'approach']","['use', 'implement', 'enterpris', 'architectur', 'modern']","['web', 'applic', '4', 'tier', 'applic', 'data', 'layer']","['sqlite', 'data', 'access', 'layer', 'sqlalchemi', 'servic', 'layer', 'flask', 'present', 'layer']","['angular', 'powerbi']","['implement', 'linkedin', 'profil', 'scrape', 'servic']","['implement', 'algorithm', 'match', 'filter', 'job', 'profil']","['design', 'document', 'api', 'interfac']","['The', 'project', 'detail', 'designing', 'developing', 'automated', 'solution', 'finding', 'best', 'candidate', 'specific', 'job', 'position']",['Tasks'],"['Research', 'different', 'job', 'recommendation', 'system', 'job', 'profile', 'matching', 'approach']","['Use', 'implementation', 'enterprise', 'architecture', 'modern']","['Web', 'application', '4', 'tier', 'application', 'data', 'layer']","['SQLite', 'data', 'access', 'layer', 'SQLAlchemy', 'service', 'layer', 'Flask', 'presentation', 'layer']","['Angular', 'PowerBi']","['Implementation', 'LinkedIn', 'profile', 'scraping', 'service']","['Implementation', 'algorithm', 'matching', 'filtering', 'job', 'profile']","['Design', 'documentation', 'API', 'interface']",0
246,246, Data scientist internal - Reserach project,Python (programming language)RStudioMicrosoft Power BITalend Open StudioOracle SQL DeveloperMicrosoft Project,"['The main objective of my end-of-studies internship was to develop an intelligent solution to evaluate the conformity of sub-contractors.', '', '- First, we worked on extracing specific key information from each document using a variety of deep learning algorithms.', '- Second, we sorted to automate the classification process of each document.']",The main objective of my end-of-studies internship was to develop an intelligent solution to evaluate the conformity of sub-contractors.,unknown,"- First, we worked on extracing specific key information from each document using a variety of deep learning algorithms.","- Second, we sorted to automate the classification process of each document.",unknown,unknown,unknown,unknown,unknown,unknown,"['The', 'main', 'objective', 'end', 'studies', 'internship', 'develop', 'intelligent', 'solution', 'evaluate', 'conformity', 'sub', 'contractors']",[],"['First', 'worked', 'extracing', 'specific', 'key', 'information', 'document', 'using', 'variety', 'deep', 'learning', 'algorithms']","['Second', 'sorted', 'automate', 'classification', 'process', 'document']",[],[],[],[],[],[],"['The', 'main', 'objective', 'end', 'studies', 'internship', 'develop', 'intelligent', 'solution', 'evaluate', 'conformity', 'sub', 'contractors']",[],"['First', 'worked', 'extracing', 'specific', 'key', 'information', 'document', 'using', 'variety', 'deep', 'learning', 'algorithms']","['Second', 'sorted', 'automate', 'classification', 'process', 'document']",[],[],[],[],[],[],"['the', 'main', 'object', 'end', 'studi', 'internship', 'develop', 'intellig', 'solut', 'evalu', 'conform', 'sub', 'contractor']",[],"['first', 'work', 'extrac', 'specif', 'key', 'inform', 'document', 'use', 'varieti', 'deep', 'learn', 'algorithm']","['second', 'sort', 'autom', 'classif', 'process', 'document']",[],[],[],[],[],[],"['The', 'main', 'objective', 'end', 'study', 'internship', 'develop', 'intelligent', 'solution', 'evaluate', 'conformity', 'sub', 'contractor']",[],"['First', 'worked', 'extracing', 'specific', 'key', 'information', 'document', 'using', 'variety', 'deep', 'learning', 'algorithm']","['Second', 'sorted', 'automate', 'classification', 'process', 'document']",[],[],[],[],[],[],1
